fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR11;11;2012;651;101;39.6;99.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_651;11_651;11_651_2012;44
CHOR11;11;2006;652;121;39.9;92.9;1;1;260;265;NA;NA;NA;2;2;2;5;4;5;F2;11_651;11_652;11_652_2006;11
CHOR11;11;2012;652;121;39.9;92.9;1;1;300;290;NA;NA;NA;2;1;1;5;5;6;;11_652;11_652;11_652_2012;11
CHOR11;11;2006;653;101;43.6;96.3;1;1;224;230;NA;NA;NA;2;2;2;5;4;5;F2;11_652;11_653;11_653_2006;11
CHOR11;11;2012;653;101;43.6;96.3;1;1;227;231;NA;NA;NA;2;1;1;5;5;6;;11_653;11_653;11_653_2012;11
CHOR11;11;2006;654;101;45.1;95;2;2;444;411;NA;NA;NA;1;1;1;4;4;6;F2;11_653;11_654;11_654_2006;22
CHOR11;11;2006;655;411;45.4;94.9;1;1;68;68;NA;NA;NA;3;2;3;5;6;4;F2;11_654;11_655;11_655_2006;11
CHOR11;11;2012;655;411;45.4;94.9;1;1;110;105;56;42;35;3;1;2;5;6;4;;11_655;11_655;11_655_2012;11
CHOR11;11;2006;656;101;47.7;96.4;1;1;750;687;56;42;34;1;1;1;4;4;6;F2;11_655;11_656;11_656_2006;11
CHOR11;11;2012;656;121;47.7;96.4;1;1;787;710;NA;NA;NA;1;1;1;4;4;6;;11_656;11_656;11_656_2012;11
CHOR11;11;2006;657;101;47.1;92.3;1;1;432;420;NA;NA;NA;1;1;1;4;4;6;F2;11_656;11_657;11_657_2006;11
CHOR11;11;2012;657;101;47.1;92.3;1;1;450;432;NA;NA;NA;1;1;1;4;4;6;;11_657;11_657;11_657_2012;11
CHOR11;11;2006;658;411;49.7;95.2;1;1;69;70;NA;NA;NA;3;2;3;5;6;6;F2;11_657;11_658;11_658_2006;11
CHOR11;11;2012;658;411;49.7;95.2;1;1;80;86;NA;NA;NA;3;1;2;5;6;4;;11_658;11_658;11_658_2012;11
CHOR11;11;2006;659;411;50.9;97.3;1;1;89;75;NA;NA;NA;3;2;3;5;6;6;F2;11_658;11_659;11_659_2006;11
CHOR11;11;2012;659;411;50.9;97.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_659;11_659;11_659_2012;44
CHOR11;11;2006;660;411;51.3;96.8;1;1;171;150;NA;NA;NA;3;2;3;5;6;6;F2;11_659;11_660;11_660_2006;11
CHOR11;11;2012;660;411;51.3;96.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_660;11_660;11_660_2012;44
CHOR11;11;2006;661;101;54.8;92.7;2;2;338;343;29;33.8;27.6;1;1;1;4;4;6;F1;11_660;11_661;11_661_2006;22
CHOR11;11;2006;662;101;58.9;92.6;2;2;439;450;NA;NA;NA;1;1;1;4;4;6;F1;11_661;11_662;11_662_2006;22
CHOR11;11;2006;663;411;58.8;99.3;1;1;146;142;NA;NA;NA;3;3;3;5;4;6;F1;11_662;11_663;11_663_2006;11
CHOR11;11;2012;663;411;58.8;99.3;1;1;180;170;NA;NA;NA;2;2;3;5;6;4;G2-2;11_663;11_663;11_663_2012;11
CHOR11;11;2006;664;411;62.1;94.4;1;1;135;130;NA;NA;NA;3;3;3;5;4;6;F2;11_663;11_664;11_664_2006;11
CHOR11;11;2012;664;411;62.1;94.4;1;1;151;150;NA;NA;NA;3;2;2;5;6;4;G2-2;11_664;11_664;11_664_2012;11
CHOR11;11;2006;665;411;61;97.5;1;1;128;121;NA;NA;NA;3;3;3;5;4;6;F1;11_664;11_665;11_665_2006;11
CHOR11;11;2012;665;411;61;97.5;1;1;146;140;NA;NA;NA;3;2;3;5;6;4;G2-2;11_665;11_665;11_665_2012;11
CHOR11;11;2006;666;121;63.3;96.2;1;1;617;705;62;46;36;1;1;1;4;4;6;F1;11_665;11_666;11_666_2006;11
CHOR11;11;2012;666;121;63.3;96.2;1;1;763;745;32;47;36;1;1;1;4;4;6;;11_666;11_666;11_666_2012;11
CHOR11;11;2006;667;101;65.8;96.3;1;1;323;300;24;33.2;24.1;1;1;1;4;4;6;F1;11_666;11_667;11_667_2006;11
CHOR11;11;2012;667;121;65.8;96.3;1;1;326;302;25;34;25;1;1;2;4;4;6;;11_667;11_667;11_667_2012;11
CHOR11;11;2006;668;411;66.3;96.1;1;1;70;70;NA;NA;NA;3;3;3;5;4;6;F1;11_667;11_668;11_668_2006;11
CHOR11;11;2012;668;411;66.3;96.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_668;11_668;11_668_2012;44
CHOR11;11;2006;669;101;73.2;98.3;1;1;320;300;NA;NA;NA;1;1;1;4;4;6;F1;11_668;11_669;11_669_2006;11
