fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR01;1;2006;1;411;97.2;1.8;1;1;129;130;NA;NA;NA;2;2;2;5;6;4;;NA;1_1;1_1_2006;11
CHOR01;1;2012;1;411;97.2;1.8;1;1;178;173;NA;NA;NA;2;2;2;5;6;4;G21;1_1;1_1;1_1_2012;11
CHOR01;1;2006;2;101;98.5;4.2;1;1;457;460;NA;NA;NA;1;1;1;4;4;6;;1_1;1_2;1_2_2006;11
CHOR01;1;2012;2;101;98.5;4.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_2;1_2;1_2_2012;44
CHOR01;1;2006;3;101;97.8;7.5;2;2;302;310;NA;NA;NA;1;1;2;4;4;6;;1_2;1_3;1_3_2006;22
CHOR01;1;2006;4;121;95.9;2.5;2;2;618;640;NA;NA;NA;1;2;1;5;4;6;P4;1_3;1_4;1_4_2006;22
CHOR01;1;2006;5;411;93.8;1.8;1;1;63;62;NA;NA;NA;3;2;3;5;6;4;F2;1_4;1_5;1_5_2006;11
CHOR01;1;2012;5;411;93.8;1.8;1;1;87;85;NA;NA;NA;3;1;2;5;6;4;G51;1_5;1_5;1_5_2012;11
CHOR01;1;2006;6;411;90.9;3.1;1;1;50;50;NA;NA;NA;3;2;3;5;6;4;F2;1_5;1_6;1_6_2006;11
CHOR01;1;2012;6;411;90.9;3.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_6;1_6;1_6_2012;44
CHOR01;1;2006;7;101;90.5;9.8;2;2;390;431;NA;NA;NA;1;1;1;4;4;6;;1_6;1_7;1_7_2006;22
CHOR01;1;2006;8;101;90;1.1;2;2;489;522;NA;NA;NA;1;1;1;4;4;6;;1_7;1_8;1_8_2006;22
CHOR01;1;2006;9;101;88.6;2.2;2;2;381;389;NA;NA;NA;1;1;1;4;4;6;;1_8;1_9;1_9_2006;22
CHOR01;1;2006;10;101;87.2;7.6;2;2;425;373;NA;NA;NA;1;3;2;6;5;6;P2;1_9;1_10;1_10_2006;22
CHOR01;1;2006;11;101;86.5;8.5;2;2;552;530;NA;NA;NA;1;1;1;4;4;6;;1_10;1_11;1_11_2006;22
CHOR01;1;2006;12;121;85.6;3;1;1;90;91;NA;NA;NA;3;2;2;5;6;4;F2;1_11;1_12;1_12_2006;11
CHOR01;1;2012;12;121;85.6;3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_12;1_12;1_12_2012;44
CHOR01;1;2006;13;411;81.9;7.3;2;2;129;127;NA;NA;NA;3;3;3;5;6;4;F2, P2, F7;1_12;1_13;1_13_2006;22
CHOR01;1;2006;14;411;70;7.3;1;1;105;112;NA;NA;NA;3;2;3;5;6;4;F2;1_13;1_14;1_14_2006;11
CHOR01;1;2012;14;411;70;7.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_14;1_14;1_14_2012;44
CHOR01;1;2006;15;101;80;4.2;2;2;511;540;NA;NA;NA;1;3;2;6;5;6;F3, P2, F7;1_14;1_15;1_15_2006;22
CHOR01;1;2006;16;101;76.1;6.2;2;2;360;385;NA;NA;NA;1;3;2;6;5;4;P2, P3;1_15;1_16;1_16_2006;22
CHOR01;1;2006;17;101;74.8;0.4;1;1;493;482;NA;NA;NA;1;1;1;4;4;6;;1_16;1_17;1_17_2006;11
CHOR01;1;2012;17;101;74.8;0.4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_17;1_17;1_17_2012;44
CHOR01;1;2006;18;411;72;0.6;1;1;131;129;NA;NA;NA;3;2;2;5;6;4;F2;1_17;1_18;1_18_2006;11
CHOR01;1;2012;18;411;72;0.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_18;1_18;1_18_2012;44
CHOR01;1;2006;19;411;71.8;3.1;1;1;102;99;NA;NA;NA;3;2;2;5;6;4;F2;1_18;1_19;1_19_2006;11
CHOR01;1;2012;19;411;71.8;3.1;1;1;115;118;NA;NA;NA;3;3;3;6;6;4;G22;1_19;1_19;1_19_2012;11
CHOR01;1;2006;20;121;74.1;8.5;2;2;174;178;NA;NA;NA;2;3;2;5;6;5;P4, P2;1_19;1_20;1_20_2006;22
CHOR01;1;2006;21;101;70;4.2;1;1;458;476;NA;NA;NA;1;1;1;4;4;6;;1_20;1_21;1_21_2006;11
CHOR01;1;2012;21;101;70;4.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_21;1_21;1_21_2012;44
CHOR01;1;2006;22;101;62.5;2.1;1;1;400;401;NA;NA;NA;1;1;1;4;4;6;;1_21;1_22;1_22_2006;11
CHOR01;1;2012;22;101;62.5;2.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_22;1_22;1_22_2012;44
CHOR01;1;2006;23;101;64.2;0.9;1;1;544;511;NA;NA;NA;1;1;1;4;4;6;;1_22;1_23;1_23_2006;11
CHOR01;1;2012;23;101;64.2;0.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_23;1_23;1_23_2012;44
CHOR01;1;2006;24;411;64;6.1;1;1;97;97;4;11.9;5.1;3;3;3;5;6;4;F2, P2;1_23;1_24;1_24_2006;11
CHOR01;1;2012;24;411;64;6.1;1;1;108;112;NA;NA;NA;3;1;1;5;6;4;;1_24;1_24;1_24_2012;11
CHOR01;1;2006;25;411;60.6;6.1;1;1;89;97;NA;NA;NA;3;2;2;5;6;4;;1_24;1_25;1_25_2006;11
CHOR01;1;2012;25;411;60.6;6.1;1;1;124;136;NA;NA;NA;3;1;1;5;6;4;;1_25;1_25;1_25_2012;11
CHOR01;1;2006;26;411;60.4;6.1;1;1;69;58;NA;NA;NA;3;2;2;5;6;4;;1_25;1_26;1_26_2006;11
CHOR01;1;2012;26;411;60.4;6.1;1;1;84;74;NA;NA;NA;3;1;1;5;6;4;;1_26;1_26;1_26_2012;11
CHOR01;1;2006;27;101;60.5;6.6;3;6;350;320;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_26;1_27;1_27_2006;36
CHOR01;1;2012;27;101;60.5;6.6;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_27;1_27;1_27_2012;99
CHOR01;1;2006;28;101;57.2;1.1;1;1;498;480;NA;NA;NA;1;3;1;6;4;6;P2, P3;1_27;1_28;1_28_2006;11
CHOR01;1;2012;28;101;57.2;1.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_28;1_28;1_28_2012;44
CHOR01;1;2006;29;101;58.9;4;1;1;369;371;NA;NA;NA;1;1;1;4;4;6;;1_28;1_29;1_29_2006;11
CHOR01;1;2012;29;101;58.9;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_29;1_29;1_29_2012;44
CHOR01;1;2006;30;101;56.5;6.3;1;1;346;342;NA;NA;NA;1;1;1;4;4;6;;1_29;1_30;1_30_2006;11
CHOR01;1;2012;30;101;56.5;6.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_30;1_30;1_30_2012;44
CHOR01;1;2006;31;101;53.6;2;1;1;270;245;NA;NA;NA;1;1;2;5;5;6;;1_30;1_31;1_31_2006;11
CHOR01;1;2012;31;101;53.6;2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_31;1_31;1_31_2012;44
CHOR01;1;2006;32;101;53.2;5.6;1;1;327;329;NA;NA;NA;1;1;1;4;4;6;;1_31;1_32;1_32_2006;11
CHOR01;1;2012;32;101;53.2;5.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_32;1_32;1_32_2012;44
CHOR01;1;2006;33;101;51.6;0.9;1;1;570;550;NA;NA;NA;1;1;1;4;4;6;;1_32;1_33;1_33_2006;11
CHOR01;1;2012;33;101;51.6;0.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_33;1_33;1_33_2012;44
CHOR01;1;2006;34;101;49.2;2.9;1;1;513;510;NA;NA;NA;1;1;1;4;4;6;;1_33;1_34;1_34_2006;11
CHOR01;1;2012;34;101;49.2;2.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_34;1_34;1_34_2012;44
CHOR01;1;2006;35;101;48.4;6.1;1;1;206;213;NA;NA;NA;1;1;2;5;5;6;;1_34;1_35;1_35_2006;11
CHOR01;1;2012;35;101;48.4;6.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_35;1_35;1_35_2012;44
CHOR01;1;2006;36;411;47.1;4.7;1;1;183;170;NA;NA;NA;2;2;2;5;6;4;;1_35;1_36;1_36_2006;11
CHOR01;1;2012;36;411;47.1;4.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_36;1_36;1_36_2012;44
CHOR01;1;2006;37;101;43.6;0.9;1;1;584;602;NA;NA;NA;1;1;1;4;4;6;F3;1_36;1_37;1_37_2006;11
CHOR01;1;2012;37;101;43.6;0.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_37;1_37;1_37_2012;44
CHOR01;1;2006;38;101;42.1;3.3;2;2;333;342;NA;NA;NA;1;1;1;4;4;6;;1_37;1_38;1_38_2006;22
CHOR01;1;2006;39;101;42.3;7.5;2;2;280;290;NA;NA;NA;1;1;1;4;4;6;;1_38;1_39;1_39_2006;22
CHOR01;1;2006;40;411;43.4;8.4;1;1;55;61;NA;NA;NA;3;2;3;5;6;4;;1_39;1_40;1_40_2006;11
CHOR01;1;2012;40;411;43.4;8.4;1;1;80;78;NA;NA;NA;3;3;3;6;6;4;G22;1_40;1_40;1_40_2012;11
CHOR01;1;2006;41;101;39;1.4;1;1;462;477;NA;NA;NA;1;1;1;4;4;6;;1_40;1_41;1_41_2006;11
CHOR01;1;2012;41;101;39;1.4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_41;1_41;1_41_2012;44
CHOR01;1;2006;42;411;37.6;4.2;1;1;108;102;NA;NA;NA;3;3;3;5;6;4;G5-1;1_41;1_42;1_42_2006;11
CHOR01;1;2012;42;411;37.6;4.2;1;1;135;140;NA;NA;NA;3;3;3;6;6;4;G22;1_42;1_42;1_42_2012;11
CHOR01;1;2006;43;101;36.6;6.9;1;1;554;540;NA;NA;NA;1;1;1;4;4;6;;1_42;1_43;1_43_2006;11
CHOR01;1;2012;43;101;36.6;6.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_43;1_43;1_43_2012;44
CHOR01;1;2006;44;101;34.7;5;1;1;278;290;NA;NA;NA;1;1;1;4;4;6;;1_43;1_44;1_44_2006;11
CHOR01;1;2012;44;101;34.7;5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_44;1_44;1_44_2012;44
CHOR01;1;2006;45;101;35.5;8.8;1;1;275;273;NA;NA;NA;1;1;2;4;4;6;;1_44;1_45;1_45_2006;11
CHOR01;1;2012;45;101;35.5;8.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_45;1_45;1_45_2012;44
CHOR01;1;2006;46;101;33.1;9.3;2;2;375;387;NA;NA;NA;1;3;2;6;5;6;F2;1_45;1_46;1_46_2006;22
CHOR01;1;2006;47;101;31.9;7.7;1;1;290;300;NA;NA;NA;1;2;2;5;4;6;;1_46;1_47;1_47_2006;11
CHOR01;1;2012;47;101;31.9;7.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_47;1_47;1_47_2012;44
CHOR01;1;2006;48;101;32.5;1.5;3;7;172;166;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_47;1_48;1_48_2006;37
CHOR01;1;2012;48;101;32.5;1.5;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_48;1_48;1_48_2012;99
CHOR01;1;2006;49;411;32.5;0.5;1;1;155;108;NA;NA;NA;3;2;3;5;6;4;F2, F7;1_48;1_49;1_49_2006;11
CHOR01;1;2012;49;411;32.5;0.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_49;1_49;1_49_2012;44
CHOR01;1;2006;50;101;29.7;8.4;1;1;229;247;NA;NA;NA;1;1;2;5;5;6;;1_49;1_50;1_50_2006;11
CHOR01;1;2012;50;101;29.7;8.4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_50;1_50;1_50_2012;44
CHOR01;1;2006;51;411;24.1;2.6;1;1;99;99;NA;NA;NA;3;2;3;5;6;4;G5;1_50;1_51;1_51_2006;11
CHOR01;1;2012;51;411;24.1;2.6;1;1;160;158;NA;NA;NA;3;1;1;5;6;4;;1_51;1_51;1_51_2012;11
CHOR01;1;2006;52;411;22.1;2.1;1;1;58;70;NA;NA;NA;3;2;3;5;6;4;;1_51;1_52;1_52_2006;11
CHOR01;1;2012;52;411;22.1;2.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_52;1_52;1_52_2012;44
CHOR01;1;2006;53;101;22.1;1.3;1;1;440;459;NA;NA;NA;1;1;1;4;4;6;;1_52;1_53;1_53_2006;11
CHOR01;1;2012;53;101;22.1;1.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_53;1_53;1_53_2012;44
CHOR01;1;2006;54;101;23.4;6.1;1;1;541;543;NA;NA;NA;1;3;1;5;4;6;P2, P3;1_53;1_54;1_54_2006;11
CHOR01;1;2012;54;101;23.4;6.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_54;1_54;1_54_2012;44
CHOR01;1;2006;55;101;21.7;9.8;1;1;423;410;NA;NA;NA;1;1;1;4;4;6;;1_54;1_55;1_55_2006;11
CHOR01;1;2012;55;101;21.7;9.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_55;1_55;1_55_2012;44
CHOR01;1;2006;56;411;18;0.8;1;1;115;113;NA;NA;NA;3;2;3;5;6;4;;1_55;1_56;1_56_2006;11
CHOR01;1;2012;56;411;18;0.8;1;1;146;151;NA;NA;NA;3;1;1;5;6;4;;1_56;1_56;1_56_2012;11
CHOR01;1;2006;57;101;18.3;5;3;7;267;275;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_56;1_57;1_57_2006;37
CHOR01;1;2012;57;101;18.3;5;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_57;1_57;1_57_2012;99
CHOR01;1;2006;58;101;16;1.2;3;7;314;307;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_57;1_58;1_58_2006;37
CHOR01;1;2012;58;101;16;1.2;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_58;1_58;1_58_2012;99
CHOR01;1;2006;59;411;19.7;9.1;1;1;82;76;NA;NA;NA;3;2;3;5;6;4;;1_58;1_59;1_59_2006;11
CHOR01;1;2012;59;411;19.7;9.1;1;1;120;115;NA;NA;NA;3;1;1;5;6;4;;1_59;1_59;1_59_2012;11
CHOR01;1;2006;60;101;16.4;2.3;1;1;251;260;NA;NA;NA;1;2;2;5;5;6;;1_59;1_60;1_60_2006;11
CHOR01;1;2012;60;101;16.4;2.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_60;1_60;1_60_2012;44
CHOR01;1;2006;61;101;14.8;3.3;1;1;309;319;NA;NA;NA;1;1;1;4;4;6;;1_60;1_61;1_61_2006;11
CHOR01;1;2012;61;101;14.8;3.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_61;1_61;1_61_2012;44
CHOR01;1;2006;62;101;14;9.5;1;1;390;392;NA;NA;NA;1;1;1;4;4;6;;1_61;1_62;1_62_2006;11
CHOR01;1;2012;62;101;14;9.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_62;1_62;1_62_2012;44
CHOR01;1;2006;63;411;12.6;3.2;1;1;170;179;NA;NA;NA;2;2;2;5;6;4;;1_62;1_63;1_63_2006;11
CHOR01;1;2012;63;411;12.6;3.2;1;1;197;200;NA;NA;NA;2;1;2;5;6;4;;1_63;1_63;1_63_2012;11
CHOR01;1;2006;64;101;11;3.2;1;1;641;570;38;38;14.9;NA;NA;NA;NA;NA;NA;;1_63;1_64;1_64_2006;11
CHOR01;1;2012;64;101;11;3.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_64;1_64;1_64_2012;44
CHOR01;1;2006;65;101;11.2;5;1;1;289;290;NA;NA;NA;1;2;2;5;4;6;;1_64;1_65;1_65_2006;11
CHOR01;1;2012;65;101;11.2;5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_65;1_65;1_65_2012;44
CHOR01;1;2006;66;101;11.4;7.9;1;1;268;267;NA;NA;NA;1;2;2;5;4;6;;1_65;1_66;1_66_2006;11
CHOR01;1;2012;66;101;11.4;7.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_66;1_66;1_66_2012;44
CHOR01;1;2006;67;411;11.1;8.8;1;1;67;68;NA;NA;NA;3;2;3;5;6;4;;1_66;1_67;1_67_2006;11
CHOR01;1;2012;67;411;11.1;8.8;1;1;110;100;NA;NA;NA;3;1;1;5;6;4;;1_67;1_67;1_67_2012;11
CHOR01;1;2006;68;101;10.9;9.4;2;2;259;260;NA;NA;NA;1;2;2;5;4;6;;1_67;1_68;1_68_2006;22
CHOR01;1;2006;69;411;8;5.1;1;1;129;129;NA;NA;NA;3;2;3;5;6;4;F2;1_68;1_69;1_69_2006;11
CHOR01;1;2012;69;411;8;5.1;1;1;151;150;NA;NA;NA;3;1;1;5;6;4;;1_69;1_69;1_69_2012;11
CHOR01;1;2006;70;411;7.5;8.1;1;1;95;86;NA;NA;NA;3;2;2;5;6;4;;1_69;1_70;1_70_2006;11
CHOR01;1;2012;70;411;7.5;8.1;1;1;135;120;NA;NA;NA;3;1;1;5;6;4;;1_70;1_70;1_70_2012;11
CHOR01;1;2006;71;101;7.5;9;1;1;360;367;NA;NA;NA;1;1;1;4;4;6;;1_70;1_71;1_71_2006;11
CHOR01;1;2012;71;101;7.5;9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_71;1_71;1_71_2012;44
CHOR01;1;2006;72;101;5.3;8.8;1;1;165;169;NA;NA;NA;2;2;2;5;5;4;;1_71;1_72;1_72_2006;11
CHOR01;1;2012;72;101;5.3;8.8;3;6;150;166;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_72;1_72;1_72_2012;36
CHOR01;1;2006;73;101;7.1;4.3;1;1;270;262;NA;NA;NA;1;2;2;5;4;6;;1_72;1_73;1_73_2006;11
CHOR01;1;2012;73;101;7.1;4.3;3;6;270;280;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_73;1_73;1_73_2012;36
CHOR01;1;2006;74;121;2.2;7.6;3;7;130;139;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_73;1_74;1_74_2006;37
CHOR01;1;2012;74;121;2.2;7.6;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_74;1_74;1_74_2012;99
CHOR01;1;2006;75;101;2;6.5;3;7;155;169;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_74;1_75;1_75_2006;37
CHOR01;1;2012;75;101;2;6.5;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_75;1_75;1_75_2012;99
CHOR01;1;2006;76;411;1.7;6.4;1;1;59;60;NA;NA;NA;3;2;2;5;6;4;;1_75;1_76;1_76_2006;11
CHOR01;1;2012;76;411;1.7;6.4;3;8;60;61;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_76;1_76;1_76_2012;38
CHOR01;1;2006;77;121;1.4;7.6;3;8;90;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_76;1_77;1_77_2006;38
CHOR01;1;2012;77;121;1.4;7.6;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_77;1_77;1_77_2012;99
CHOR01;1;2006;78;121;1;5;1;1;520;507;NA;NA;NA;1;1;1;4;4;6;;1_77;1_78;1_78_2006;11
CHOR01;1;2012;78;121;1;5;1;1;554;570;43;37;25;1;1;1;4;4;6;;1_78;1_78;1_78_2012;11
CHOR01;1;2006;79;101;3.6;12.1;2;2;287;318;NA;NA;NA;2;3;3;5;5;6;G2;1_78;1_79;1_79_2006;22
CHOR01;1;2006;80;411;4.6;11.1;1;1;112;110;NA;NA;NA;3;2;2;5;6;4;;1_79;1_80;1_80_2006;11
CHOR01;1;2012;80;411;4.6;11.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_80;1_80;1_80_2012;44
CHOR01;1;2006;81;121;3.4;16.3;1;1;90;125;NA;NA;NA;3;3;3;5;6;4;S0;1_80;1_81;1_81_2006;11
CHOR01;1;2012;81;121;3.4;16.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_81;1_81;1_81_2012;44
CHOR01;1;2006;82;101;5.5;15.1;1;1;510;519;NA;NA;NA;1;1;1;4;4;6;;1_81;1_82;1_82_2006;11
CHOR01;1;2012;82;101;5.5;15.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_82;1_82;1_82_2012;44
CHOR01;1;2006;83;121;3.7;18.8;1;1;325;320;NA;NA;NA;1;1;1;4;4;6;;1_82;1_83;1_83_2006;11
CHOR01;1;2012;83;121;3.7;18.8;1;1;344;326;NA;NA;NA;1;1;2;4;4;6;;1_83;1_83;1_83_2012;11
CHOR01;1;2006;84;101;7.8;15.8;1;1;405;411;NA;NA;NA;1;1;1;4;4;6;;1_83;1_84;1_84_2006;11
CHOR01;1;2012;84;101;7.8;15.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_84;1_84;1_84_2012;44
CHOR01;1;2006;85;101;6.1;13.6;2;2;366;350;NA;NA;NA;1;1;1;4;4;6;;1_84;1_85;1_85_2006;22
CHOR01;1;2006;86;101;10.4;15.1;1;1;260;277;NA;NA;NA;1;2;2;5;5;4;;1_85;1_86;1_86_2006;11
CHOR01;1;2012;86;101;10.4;15.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_86;1_86;1_86_2012;44
CHOR01;1;2006;87;101;10.6;19.5;1;1;470;470;NA;NA;NA;1;1;1;4;4;6;;1_86;1_87;1_87_2006;11
CHOR01;1;2012;87;101;10.6;19.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_87;1_87;1_87_2012;44
CHOR01;1;2006;88;101;12.4;18.7;3;7;245;250;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_87;1_88;1_88_2006;37
CHOR01;1;2012;88;101;12.4;18.7;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_88;1_88;1_88_2012;99
CHOR01;1;2006;89;101;13.6;14.6;1;1;321;337;NA;NA;NA;1;2;2;5;4;6;S0, S4;1_88;1_89;1_89_2006;11
CHOR01;1;2012;89;101;13.6;14.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_89;1_89;1_89_2012;44
CHOR01;1;2006;90;101;13.8;12.5;1;1;470;449;NA;NA;NA;1;2;1;5;4;6;S0, S4, F6;1_89;1_90;1_90_2006;11
CHOR01;1;2012;90;101;13.8;12.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_90;1_90;1_90_2012;44
CHOR01;1;2006;91;411;15.3;14.6;1;1;185;165;NA;NA;NA;2;2;2;5;6;4;F2, F7;1_90;1_91;1_91_2006;11
CHOR01;1;2012;91;411;15.3;14.6;1;1;223;192;NA;NA;NA;3;1;1;5;6;4;;1_91;1_91;1_91_2012;11
CHOR01;1;2006;92;101;14.6;17.9;1;1;455;466;NA;NA;NA;1;1;1;4;4;6;;1_91;1_92;1_92_2006;11
CHOR01;1;2012;92;101;14.6;17.9;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_92;1_92;1_92_2012;44
CHOR01;1;2006;93;101;16.8;19.1;1;1;278;278;NA;NA;NA;1;1;2;4;4;6;;1_92;1_93;1_93_2006;11
CHOR01;1;2012;93;101;16.8;19.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_93;1_93;1_93_2012;44
CHOR01;1;2006;94;101;19;17.3;1;1;416;435;NA;NA;NA;1;1;1;4;4;6;;1_93;1_94;1_94_2006;11
CHOR01;1;2012;94;101;19;17.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_94;1_94;1_94_2012;44
CHOR01;1;2006;95;101;19.1;12.7;1;1;460;447;NA;NA;NA;1;1;1;4;4;6;;1_94;1_95;1_95_2006;11
CHOR01;1;2012;95;101;19.1;12.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_95;1_95;1_95_2012;44
CHOR01;1;2006;96;101;19.3;11.7;1;1;277;269;NA;NA;NA;1;1;2;4;4;6;;1_95;1_96;1_96_2006;11
CHOR01;1;2012;96;101;19.3;11.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_96;1_96;1_96_2012;44
CHOR01;1;2006;97;411;20.4;14.9;1;1;80;81;NA;NA;NA;3;2;2;5;6;4;;1_96;1_97;1_97_2006;11
CHOR01;1;2012;97;411;20.4;14.9;1;1;130;120;NA;NA;NA;3;1;2;5;6;4;;1_97;1_97;1_97_2012;11
CHOR01;1;2006;98;101;21.8;16.6;1;1;390;410;NA;NA;NA;1;1;1;4;4;6;;1_97;1_98;1_98_2006;11
CHOR01;1;2012;98;101;21.8;16.6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_98;1_98;1_98_2012;44
CHOR01;1;2006;99;411;23.8;19;1;1;71;80;NA;NA;NA;3;2;2;5;6;4;;1_98;1_99;1_99_2006;11
CHOR01;1;2012;99;411;23.8;19;1;1;112;110;NA;NA;NA;3;1;2;5;6;4;;1_99;1_99;1_99_2012;11
CHOR01;1;2006;100;101;25.5;11;1;1;409;402;NA;NA;NA;1;2;1;5;4;6;S0, P4;1_99;1_100;1_100_2006;11
CHOR01;1;2012;100;101;25.5;11;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_100;1_100;1_100_2012;44
CHOR01;1;2006;101;411;27.1;18.1;1;1;101;100;NA;NA;NA;2;2;2;5;6;4;;1_100;1_101;1_101_2006;11
CHOR01;1;2012;101;411;27.1;18.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_101;1_101;1_101_2012;44
CHOR01;1;2006;102;101;30;12.7;1;1;270;299;NA;NA;NA;1;2;2;5;5;6;S0, S4;1_101;1_102;1_102_2006;11
CHOR01;1;2012;102;101;30;12.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_102;1_102;1_102_2012;44
CHOR01;1;2006;103;101;31;14.7;1;1;408;408;NA;NA;NA;1;3;1;5;5;6;P2, P3;1_102;1_103;1_103_2006;11
CHOR01;1;2012;103;101;31;14.7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1_103;1_103;1_103_2012;44
CHOR01;1;2006;104;101;34.1;18.1;1;1;407;398;NA;NA;NA;1;1;1;4;4;6;;1_103;1_104;1_104_2006;11
