f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
4;2018;1;101;1;1;415;424;420;;1;1;1;4;4;6;;;;S4;S2;F6;Start
4;2018;2;121;1;1;550;510;530;;1;1;1;4;4;6;;;;;;;1
4;2018;3;101;1;1;451;420;436;;1;1;1;4;4;6;;;;F3;S4;;2
4;2018;6;101;9;5;343;344;344;;;;;;;;;;;;;;3
4;2018;7;411;1;1;162;141;152;;3;3;3;5;6;4;;;;G12;S2;;6
4;2018;8;101;9;5;554;599;577;;;;;;;;;;;P95;;;11
4;2018;9;411;1;1;131;177;154;;3;2;2;5;6;4;;;;G12;S2;;7
4;2018;10;101;3;8;447;362;405;;;;;;;;18.9;;;P95;;;9
4;2018;11;101;3;6;399;390;395;;;;;;;;;;;P95;A1;;10
4;2018;12;101;3;5;383;356;370;;;;;;;;;;;P95;A1;;8
4;2018;14;101;9;6;357;375;366;;;;;;;;;;;P95;A1;;12
4;2018;15;101;9;6;260;270;265;;;;;;;;;;;P95;;;15
4;2018;16;101;3;7;327;239;283;;;;;;;;;;;P95;A1;;19
4;2018;19;101;9;5;394;329;362;;;;;;;;;;;;;;25
4;2018;20;101;3;6;253;257;255;;;;;;;;;;;P95;A1;;16
4;2018;23;101;1;1;418;416;417;;1;1;1;4;4;6;;;;S4;S2;;20
4;2018;25;101;1;1;524;544;534;;1;1;1;4;4;6;;;;;;;23
4;2018;26;101;1;1;395;400;398;;1;1;1;4;4;6;;;;S4;;;27
4;2018;27;101;1;1;472;512;492;;1;1;1;4;4;6;;;;S4;S0;;29
4;2018;29;101;1;1;495;494;495;;1;1;1;4;4;6;;;;;;;30
4;2018;30;411;1;1;217;216;217;;2;1;1;5;6;4;;;;;;;31
4;2018;31;101;9;8;199;208;204;;;;;;;;;;;P93;;;32
4;2018;32;101;1;1;257;410;334;;1;3;2;6;6;4;3.6;;;F7;F6;S4;34
4;2018;34;411;1;1;112;115;114;;3;3;3;5;6;4;;;;G22;S23;G12;26
4;2018;36;101;1;1;335;336;336;;1;3;1;6;4;6;;;;S2;F2;;39
4;2018;37;101;1;1;550;507;529;;1;3;1;5;4;6;;;;S4;S2;;41
4;2018;38;101;1;1;538;512;525;;1;1;1;4;4;6;;;;;;;37
4;2018;39;101;1;1;470;492;481;;1;1;1;4;4;6;;;;;;;40
4;2018;40;101;1;1;454;447;451;;1;3;1;6;4;6;;;;S2;S4;;38
4;2018;41;121;1;1;721;664;693;;1;1;1;5;5;4;;;;P2;;;42
4;2018;42;101;1;1;343;337;340;;1;1;1;4;4;6;;;;;;;43
4;2018;43;101;9;5;290;285;288;;;;;;;;;;;P3;;;68
4;2018;44;101;9;8;220;230;225;;;;;;;;11.6;;;P95;;;45
4;2018;45;411;1;1;108;105;107;;3;1;2;5;6;4;;;;G12;;;47
4;2018;46;101;1;1;405;414;410;;1;1;1;4;4;6;;;;;;;44
4;2018;47;411;1;1;186;183;185;;2;1;2;5;6;4;;;;S2;;;46
4;2018;50;101;1;1;551;531;541;;1;1;1;4;4;6;;;;;;;81
4;2018;56;121;1;1;682;675;679;;1;1;1;4;4;6;;;;;;;57
4;2018;57;411;1;1;218;219;219;;2;1;2;5;6;4;;;;;;;60
4;2018;58;411;1;1;230;227;229;;2;1;2;5;6;4;;;;P41;H1;;56
4;2018;59;101;1;1;303;301;302;;1;1;2;4;4;6;;;;;;;58
4;2018;60;101;9;9;;;0;;;;;;;;;;;;;;
4;2018;61;101;9;9;;;0;;;;;;;;;;;;;;
4;2018;65;121;1;1;162;167;165;;3;3;3;5;6;5;;;;G21;S22;;66
4;2018;66;121;1;1;569;620;595;;1;1;1;4;4;6;;;;S2;F51;;68
4;2018;68;101;1;1;339;339;339;;1;1;2;4;4;6;;;;;;;59
4;2018;73;101;1;1;369;417;393;;1;1;1;4;4;6;;;;S2;;;173
4;2018;79;121;1;1;767;761;764;;1;1;1;4;4;6;;;;H1;P41;;80
4;2018;80;101;1;1;369;349;359;;1;1;2;4;4;6;;;;S2;;;164
4;2018;81;411;1;1;135;148;142;;3;3;3;5;6;4;;;;G12;F2;;47
4;2018;87;101;9;6;217;215;216;;;;;;;;;;;;;;88
4;2018;88;101;1;1;587;622;605;;1;1;1;4;4;6;;;;;;;78
4;2018;93;101;9;8;475;461;468;;;;;;;;18.7;;;P94;;;154
4;2018;94;101;1;1;319;320;320;;1;3;3;5;5;6;;;;G12;S4;F12;93
4;2018;95;101;1;1;617;587;602;;1;1;1;4;4;6;;;;H1;P41;;94
4;2018;96;411;1;1;227;222;225;;2;1;2;5;6;4;;;;;;;143
4;2018;99;101;1;1;429;454;442;;1;1;1;4;4;6;;;;;;;96
4;2018;100;101;1;1;408;434;421;;1;1;1;4;4;6;;;;;;;95
4;2018;101;101;1;1;344;372;358;;1;1;1;4;4;6;;;;F6;;;100
4;2018;104;101;9;5;175;170;173;;;;;;;;;;;P92;;;106
4;2018;105;411;1;1;135;141;138;;3;3;3;5;6;4;;;;F4;S2;G12;99
4;2018;106;411;1;1;127;129;128;;3;3;3;5;6;4;;;;F4;;;105
4;2018;110;411;1;1;208;173;191;;2;1;2;5;6;4;;;;;;;101
4;2018;114;121;1;1;797;767;782;;1;1;1;4;4;6;;;;P41;H1;;104
4;2018;116;101;3;5;450;460;455;;;;;;;;;;;A1;;;114
4;2018;117;411;4;4;;;0;;;;;;;;;;;;;;
4;2018;118;411;1;1;191;201;196;;3;1;2;5;6;4;;;;;;;116
4;2018;121;121;1;1;521;522;522;;1;1;2;5;5;5;;;;;;;118
4;2018;122;411;1;1;180;192;186;;2;3;1;5;6;4;;;;G22;F22;;121
4;2018;132;121;1;1;250;249;250;;3;3;3;6;6;4;;;;G52;S2;F51;122
4;2018;133;411;1;1;177;172;175;;3;3;3;5;6;4;;;;G52;;;132
4;2018;140;121;1;1;460;496;478;;1;1;2;5;5;5;;;;;;;143
4;2018;141;101;1;1;530;556;543;;1;1;1;4;4;6;;;;S4;P4;;110
4;2018;143;101;1;1;641;620;631;P;1;1;1;4;4;6;37.6;28.9;54;;;;144
4;2018;144;121;1;1;513;520;517;;1;2;1;5;4;6;;;;P2;S2;;213
4;2018;145;101;1;1;314;322;318;;1;1;1;4;4;6;;;;F51;;;144
4;2018;146;101;1;1;305;312;309;;1;1;2;4;5;6;;;;H1;;;145
4;2018;147;101;1;1;302;312;307;P;2;1;1;4;5;6;29.2;21.2;28;F51;S2;;148
4;2018;148;101;1;1;452;446;449;;1;1;1;4;4;6;;;;S4;F51;;203
4;2018;149;101;1;1;421;427;424;;1;1;1;4;4;6;;;;;;;147
4;2018;150;101;9;6;228;222;225;;;;;;;;;;;;;;16
4;2018;151;101;9;6;243;341;292;;;;;;;;;;;P93;A1;;132
4;2018;152;121;1;1;521;517;519;;1;1;1;4;4;6;;;;S2;;;150
4;2018;154;101;1;1;576;579;578;;1;1;1;4;4;6;;;;S2;F52;S4;155
4;2018;155;101;1;1;346;327;337;;1;1;1;4;4;6;;;;;;;199
4;2018;156;101;3;6;361;334;348;;;;;;;;;;;;;;159
4;2018;157;101;3;5;310;300;305;;;;;;;;;;;;;;156
4;2018;158;101;1;1;303;300;302;;1;2;3;5;6;4;;;;S2;G10;;157
4;2018;159;101;1;1;397;394;396;;1;3;1;6;6;4;;;;S4;S2;;87
4;2018;160;101;1;1;245;249;247;;1;1;2;4;4;6;;;;F6;S4;G10;163
4;2018;161;101;1;1;220;207;214;;1;1;2;4;4;6;;;;S4;S2;F6;191
4;2018;162;101;1;1;484;485;485;;1;1;1;4;4;6;;;;;;;160
4;2018;163;101;1;1;319;320;320;;1;1;1;4;4;6;;;;S2;S4;G10;161
4;2018;164;411;1;1;227;227;227;;3;3;3;5;6;4;;;;G12;;;166
4;2018;165;101;9;5;254;256;255;;;;;;;;;;;;;;163
4;2018;166;101;1;1;366;377;372;;1;1;1;4;4;6;;;;S4;S2;;162
4;2018;168;101;3;8;290;290;290;;;;;;;;20.8;;;;;;169
