f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
6;2018;2;411;1;1;223;204;214;;2;1;2;5;6;4;;;;S21;;;3
6;2018;3;101;1;1;376;333;355;;1;1;1;4;4;6;;;;S4;;;Start
6;2018;7;441;1;1;218;219;219;;2;1;2;5;6;4;;;;F2;;;8
6;2018;8;121;1;1;631;667;649;;1;1;1;5;5;4;;;;;;;9
6;2018;9;411;1;1;269;277;273;;2;1;2;5;6;4;;;;G62;;;2
6;2018;10;511;9;9;;;0;;;;;;;;;;;;;;
6;2018;11;411;1;1;163;161;162;;3;2;3;5;6;4;;;;G13;;;83
6;2018;24;411;1;1;517;450;484;;1;3;3;5;6;5;;;;G13;S23;;539
6;2018;25;101;9;8;466;472;469;;;;;;;;2.7;;;P3;;;24
6;2018;26;441;1;1;338;352;345;;3;3;3;5;6;4;;;;G13;G23;;25
6;2018;27;441;1;1;333;318;326;;2;1;1;5;6;4;;;;;;;26
6;2018;33;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;34;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;35;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;36;101;9;8;552;54;303;;;;;;;;2.2;;;;;;541
6;2018;37;411;1;1;214;204;209;;2;1;2;5;6;4;;;;F7;;;36
6;2018;39;411;1;1;167;159;163;;3;1;1;5;6;4;;;;F7;;;37
6;2018;42;411;4;4;;;0;;;;;;;;;;;;;;
6;2018;43;101;9;7;548;527;538;;;;;;;;;;;;;;39
6;2018;45;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;46;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;50;411;4;4;;;0;;;;;;;;;;;;;;
6;2018;53;411;1;1;154;152;153;;3;2;2;5;6;4;;;;G13;S22;;540
6;2018;54;121;3;5;620;580;600;;;;;;;;;;;;;;
6;2018;57;411;1;1;150;159;155;;3;1;1;5;6;4;;;;;;;111
6;2018;58;411;1;1;166;174;170;;3;2;1;5;6;4;;;;G13;;;57
6;2018;61;411;1;1;299;286;293;;2;3;3;5;6;4;;;;G13;S22;;537
6;2018;63;411;1;1;134;133;134;;2;3;2;5;6;4;;;;G12;;;64
6;2018;64;411;1;1;126;131;129;;3;1;1;5;6;4;;;;;;;65
6;2018;65;511;1;1;404;387;396;;2;1;2;5;6;4;;;;G13;;;67
6;2018;67;411;1;1;219;205;212;;2;1;2;5;6;4;;;;F2;;;69
6;2018;69;101;3;5;270;270;270;;;;;;;;;;;;;;71
6;2018;71;121;3;5;785;792;789;;;;;;;;;;;;;;72
6;2018;72;411;1;1;226;213;220;;3;1;1;5;6;4;;;;;;;75
6;2018;73;411;1;1;212;213;213;;3;3;3;5;6;4;;;;G13;;;11
6;2018;75;411;1;1;295;289;292;;2;2;2;5;6;4;;;;F7;;;73
6;2018;79;411;1;1;165;173;169;;3;3;3;5;6;4;;;;G62;;;82
6;2018;82;411;1;1;132;141;137;;3;2;3;5;6;4;;;;S23;;;90
6;2018;83;411;1;1;249;251;250;;2;2;2;5;6;4;;;;;;;536
6;2018;85;101;1;1;393;391;392;;1;2;2;5;4;6;;;;S4;;;87
6;2018;86;411;1;1;223;216;220;;2;1;2;5;6;4;;;;;;;7
6;2018;87;121;3;8;301;308;305;;;;;;;;8.4;;;;;;86
6;2018;88;411;1;1;209;188;199;;3;1;2;5;6;4;;;;G10;;;85
6;2018;89;411;1;1;229;216;223;P;3;1;1;5;6;4;14.9;2.9;14;;;;89
6;2018;90;411;1;1;165;171;168;;3;1;2;5;6;4;;;;;;;88
6;2018;91;411;1;1;254;250;252;P;2;1;1;5;6;4;19.5;2.4;18;;;;176
6;2018;96;411;1;1;228;238;233;;3;1;2;5;6;4;;;;G13;;;98
6;2018;98;411;1;1;217;224;221;;3;1;1;5;6;4;;;;F7;;;553
6;2018;103;411;1;1;165;173;169;;3;1;1;5;6;4;;;;F7;;;547
6;2018;110;411;1;1;173;169;171;;3;3;3;5;6;4;;;;G13;S23;;61
6;2018;111;411;1;1;239;244;242;;2;2;3;5;6;4;;;;G11;S21;;115
6;2018;115;411;1;1;257;236;247;;2;2;3;5;6;4;;;;G13;S23;;110
6;2018;117;411;1;1;276;278;277;;2;2;2;5;6;4;;;;G11;;;126
6;2018;118;441;1;1;326;325;326;;2;3;3;5;6;4;;;;G13;;;118
6;2018;119;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;121;101;4;4;;;0;;;;;;;;;;;;;;
6;2018;123;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;124;101;1;1;252;246;249;;2;3;3;5;5;5;;;;G22;;;542
6;2018;125;411;1;1;162;176;169;;3;3;3;5;6;4;;;;F2;S22;;124
6;2018;126;411;1;1;191;187;189;;3;3;3;5;6;4;;;;G13;S23;;125
6;2018;127;411;1;1;247;231;239;;3;3;3;5;6;4;;;;G13;S23;;128
6;2018;128;411;1;1;141;142;142;;3;3;3;5;6;4;;;;G51;;;573
6;2018;129;121;1;1;906;906;906;P;1;1;1;4;4;6;45.6;22.4;81;;;;227
6;2018;130;411;1;1;299;272;286;;2;1;1;5;6;4;;;;F4;;;129
6;2018;132;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;135;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;136;101;9;7;565;637;601;;;;;;;;;;;;;;531
6;2018;137;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;150;411;1;1;182;175;179;;3;1;1;5;6;4;;;;F7;;;136
6;2018;152;101;3;5;240;240;240;;;;;;;;;;;;;;
6;2018;153;101;3;8;421;418;420;;;;;;;;16;;;S4;;;543
6;2018;156;411;1;1;309;313;311;;2;1;1;5;6;4;;;;;;;153
6;2018;160;411;1;1;185;179;182;;3;3;3;5;6;4;;;;G33;S22;;546
6;2018;162;411;1;1;281;289;285;;2;1;1;5;6;4;;;;;;;103
6;2018;166;411;1;1;314;303;309;;2;1;2;5;6;4;;;;F7;;;548
6;2018;172;101;1;1;392;361;377;;1;2;2;5;4;6;;;;S21;S4;;173
6;2018;173;411;1;1;211;220;216;;3;3;3;5;6;4;;;;F2;G13;S22;91
6;2018;176;411;1;1;311;302;307;;2;1;2;5;6;4;;;;;;;180
6;2018;177;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;178;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;179;101;9;9;;;0;;;;;;;;;;;;;;
6;2018;180;411;1;1;186;179;183;P;3;1;1;5;6;4;14.3;6;10;;;;181
6;2018;181;411;1;1;152;145;149;;3;1;2;5;6;4;;;;;;;182
6;2018;182;411;1;1;224;242;233;;3;3;3;5;6;4;;;;G13;S23;;522
6;2018;183;101;1;1;495;473;484;;1;2;2;5;4;6;;;;S4;;;184
6;2018;184;411;1;1;162;185;174;;3;2;2;5;6;4;;;;G13;;;186
6;2018;186;101;3;8;659;656;658;;;;;;;;20.6;;;;;;531
6;2018;203;441;1;1;186;179;183;;3;1;1;5;6;4;;;;G12;;;156
6;2018;210;411;1;1;192;174;183;;3;3;3;5;6;4;;;;G13;S22;;259
6;2018;214;411;1;1;178;177;178;;3;3;3;5;6;4;;;;G13;S23;;210
6;2018;218;411;1;1;189;183;186;;3;1;1;5;6;4;;;;;;;214
6;2018;222;101;9;7;413;404;409;;;;;;;;;;;;;;223
