f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;
12;2018;81;411;1;1;81;78;80;;3;1;2;5;6;4;;;;G53;F2;;80;
12;2018;82;411;1;1;103;107;105;;3;1;1;5;6;4;;;;F2;;;81;
12;2018;83;411;1;1;170;165;168;;3;1;1;5;6;4;;;;;;;82;
12;2018;84;411;1;1;255;240;248;;2;3;3;5;6;5;;;;S01;;;83;
12;2018;85;411;1;5;94;89;92;;3;3;3;5;6;4;;;;;;;88;
12;2018;86;411;1;5;111;113;112;;3;3;3;5;6;4;;;;;;;85;
12;2018;87;101;1;1;562;647;605;;1;1;1;4;4;6;;;;;;;86;
12;2018;88;411;1;1;163;162;163;;3;1;2;5;6;4;;;;;;;84;
12;2018;89;411;1;1;259;249;254;P;2;1;3;5;6;4;28.5;16.3;24;;;;90;
12;2018;90;101;1;1;524;563;544;;1;1;1;4;4;6;;;;;;;87;
12;2018;91;101;1;1;445;492;469;;1;1;1;4;4;6;;;;S4;S01;;94;
12;2018;92;101;9;7;163;169;166;;;;;;;;;;;;;;91;
12;2018;93;101;9;7;208;216;212;;;;;;;;;;;;;;90;
12;2018;94;411;1;1;116;108;112;;3;3;3;5;6;4;;;;F2;G22;;93;
12;2018;95;411;1;1;109;108;109;;;;;;;;;;;;;;97;
12;2018;96;121;1;1;205;214;210;;2;2;2;5;6;5;;;;;;;97;
12;2018;97;411;1;5;93;97;95;;3;3;3;5;6;4;;;;;;;98;
12;2018;98;101;1;1;650;559;605;;1;1;1;4;4;6;;;;;;;92;
12;2018;99;101;1;1;511;513;512;;1;1;1;4;4;6;;;;;;;95;
12;2018;100;101;1;1;441;412;427;;1;1;1;4;4;6;;;;;;;104;
12;2018;101;121;9;8;412;384;398;;;;;;;;23.1;;;;;;99;
12;2018;102;101;1;1;620;633;627;;1;1;1;4;4;6;;;;;;;101;
12;2018;103;411;1;5;128;131;130;;3;3;3;5;6;4;;;;;;;102;
12;2018;104;121;1;1;126;126;126;;3;1;2;5;6;4;;;;;;;109;
12;2018;105;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;106;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;108;441;1;1;476;458;467;;1;2;3;5;6;4;;;;F7;F2;;109;
12;2018;109;101;1;1;552;561;557;;;;;;;;;;;;;;103;
12;2018;110;411;1;1;113;108;111;;3;1;2;5;6;4;;;;;;;100;
12;2018;111;121;1;1;555;604;580;;1;1;1;4;4;6;;;;;;;113;
12;2018;113;101;1;1;492;491;492;;1;1;1;4;4;6;;;;;;;110;
12;2018;114;101;1;1;369;370;370;;1;1;1;4;4;6;;;;;;;117;
12;2018;115;121;1;1;451;467;459;;1;1;1;4;4;6;;;;;;;111;
12;2018;116;411;1;1;124;122;123;;3;3;3;5;6;4;;;;;;;115;
12;2018;117;411;1;1;108;91;100;;3;3;3;5;6;4;;;;F2;;;119;
12;2018;118;101;1;1;257;269;263;;1;1;2;4;4;6;;;;;;;114;
12;2018;119;101;1;1;362;373;368;;1;1;1;4;4;6;;;;;;;120;
12;2018;120;101;1;1;287;305;296;;1;1;2;4;4;6;;;;;;;118;
12;2018;121;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;122;411;1;1;148;153;151;;3;1;2;5;6;4;;;;;;;114;
12;2018;123;101;1;1;456;450;453;;1;1;1;4;4;6;;;;;;;126;
12;2018;124;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;125;411;1;1;78;70;74;;3;1;3;5;6;4;;;;F2;;;122;
12;2018;126;411;1;1;102;101;102;;3;1;3;5;6;4;;;;F2;;;125;
12;2018;128;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;129;101;1;1;326;345;336;;1;1;1;4;4;6;;;;;;;123;
12;2018;130;101;1;1;340;352;346;;1;1;1;4;4;6;;;;;;;133;
12;2018;131;411;1;1;67;71;69;;3;1;3;5;6;4;;;;G22;;;137;
12;2018;132;411;1;1;152;142;147;;3;1;2;5;6;4;;;;;;;130;
12;2018;133;411;1;1;78;81;80;;3;1;2;5;6;4;;;;;;;132;
12;2018;134;101;9;7;227;208;218;;;;;;;;;;;;;;129;
12;2018;135;411;1;1;118;119;119;;3;1;1;5;6;4;;;;;;;134;
12;2018;136;101;1;1;329;336;333;;1;3;3;5;6;4;;;;G23;;;135;
12;2018;137;411;1;1;107;116;112;;3;1;2;5;6;4;;;;F2;;;136;
12;2018;138;411;4;4;;;0;;;;;;;;;;;;;;;
12;2018;139;411;1;1;333;321;327;;1;1;2;5;6;4;;;;F7;;;133;
12;2018;140;101;1;1;540;525;533;;1;1;1;4;4;6;;;;;;;139;
12;2018;141;411;1;1;205;190;198;;2;1;2;5;6;4;;;;;;;140;
12;2018;142;411;4;4;;;0;;;;;;;;;;;;;;;
12;2018;143;411;1;1;133;123;128;;3;3;3;5;6;2;;;;F2;;;141;
12;2018;144;411;3;5;;;0;;;;;;;;;;;A3;;;;
12;2018;145;411;1;1;186;215;201;;3;2;2;5;6;4;;;;F7;;;143;
12;2018;146;411;4;4;;;0;;;;;;;;;;;;;;;
12;2018;148;411;1;1;142;148;145;;3;1;2;5;6;4;;;;;;;145;
12;2018;149;411;1;1;140;138;139;P;3;1;1;5;6;4;14.9;6.6;8;;;;155;
12;2018;150;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;151;411;1;1;116;114;115;;3;1;2;5;6;4;;;;;;;148;
12;2018;152;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;153;411;1;1;74;72;73;;3;1;2;5;6;4;;;;;;;151;
12;2018;154;101;4;4;;;0;;;;;;;;;;;;;;;
12;2018;155;101;1;1;577;604;591;;1;1;1;4;4;6;;;;;;;153;
12;2018;156;101;1;1;496;496;496;;1;1;1;4;4;6;;;;;;;149;
12;2018;157;101;3;6;369;354;362;;;;;;;;;;;S4;;;156;
12;2018;158;101;1;1;501;499;500;;1;1;1;4;4;6;;;;;;;159;
12;2018;159;101;1;1;432;439;436;;1;1;1;4;4;6;;;;;;;161;
12;2018;160;101;4;4;;;0;;;;;;;;;;;;;;;
12;2018;161;121;1;1;125;131;128;;3;3;3;5;6;4;;;;G11;;;163;
12;2018;162;101;1;1;441;422;432;;1;1;1;4;4;6;;;;;;;157;
12;2018;163;101;9;7;220;220;220;;;;;;;;;;;;;;162;
12;2018;164;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;165;101;1;1;470;482;476;;1;1;1;4;4;6;;;;;;;158;
12;2018;166;411;1;1;90;83;87;;3;2;3;5;6;4;;;;;;;168;
12;2018;167;411;1;1;115;118;117;;3;1;2;5;6;4;;;;;;;165;
12;2018;168;101;1;1;561;526;544;;1;1;1;4;4;6;;;;;;;167;
12;2018;169;411;1;1;210;208;209;;3;3;3;5;6;4;;;;F4;G23;;170;
12;2018;170;101;1;1;440;431;436;;1;1;1;4;4;6;;;;;;;166;
12;2018;171;411;4;4;;;0;;;;;;;;;;;;;;;
12;2018;172;411;1;1;94;92;93;;3;3;3;5;6;4;;;;F2;S01;;169;
12;2018;173;121;3;5;535;520;528;;;;;;;;;;;;;;;
12;2018;174;411;1;1;89;96;93;;3;1;2;5;6;4;;;;F2;;;176;
12;2018;175;411;4;4;;;0;;;;;;;;;;;;;;;
12;2018;176;101;1;1;523;524;524;;1;1;1;4;4;6;;;;;;;172;
12;2018;177;411;1;1;77;78;78;;3;1;2;5;6;4;;;;;;;174;
12;2018;178;411;1;1;81;87;84;;3;1;3;5;6;4;;;;;;;177;
12;2018;179;101;1;1;679;616;648;;1;1;1;4;4;6;;;;H1;;;178;
12;2018;180;101;3;5;;;0;;;;;;;;;;;A3;;;;
12;2018;181;101;4;4;;;0;;;;;;;;;;;;;;;
12;2018;182;411;1;1;158;158;158;P;3;1;1;5;6;4;14.5;5.3;10;;;;183;
12;2018;183;101;1;1;318;316;317;;1;1;1;4;4;6;;;;;;;184;
12;2018;184;101;1;1;271;290;281;;1;2;3;5;5;6;;;;;;;179;
12;2018;185;121;3;5;;;0;;;;;;;;;;;A3;;;;
12;2018;186;101;1;1;229;233;231;;1;3;3;5;5;6;;;;;;;862;
12;2018;187;101;1;1;324;320;322;;1;1;1;4;4;6;;;;;;;186;
12;2018;188;121;1;1;783;756;770;;1;1;1;4;4;6;;;;;;;187;
12;2018;189;101;9;5;340;341;341;;;;;;;;;;;P2;;;188;
12;2018;190;411;1;1;99;102;101;;3;3;3;5;6;4;;;;F2;;;189;
12;2018;191;101;9;7;278;277;278;;;;;;;;;;;;;;190;
12;2018;192;121;1;1;608;611;610;;1;1;1;4;4;6;;;;;;;193;
12;2018;193;101;9;7;250;247;249;;;;;;;;;;;;;;192;
12;2018;194;411;1;1;73;79;76;;3;2;3;5;6;4;;;;F2;G52;;191;
12;2018;195;411;1;1;118;132;125;;3;3;3;5;6;4;;;;G13;;;197;
12;2018;196;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;197;411;1;1;144;147;146;;3;2;3;5;6;4;;;;F7;G12;;194;
12;2018;200;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;202;121;1;1;451;446;449;;1;1;1;4;4;6;;;;;;;203;
12;2018;203;121;1;1;316;320;318;;1;2;3;5;5;6;;;;F2;;;204;
12;2018;204;121;1;1;434;438;436;;1;1;1;4;4;6;;;;;;;195;
12;2018;205;101;9;8;300;335;318;;;;;;;;5;;;P3;;;202;
12;2018;206;101;1;1;404;416;410;;1;1;1;4;4;6;;;;;;;205;
12;2018;208;121;1;1;486;493;490;;1;1;1;4;4;6;;;;A4;;;211;
12;2018;209;101;9;8;351;350;351;;;;;;;;13.1;;;P3;;;208;
12;2018;210;101;1;1;412;401;407;;1;1;1;4;4;6;;;;;;;215;
12;2018;211;101;1;1;361;364;363;;1;1;1;4;4;6;;;;;;;212;
12;2018;212;121;9;8;239;234;237;;;;;;;;7.4;;;;;;209;
12;2018;213;101;1;1;314;308;311;;1;1;1;4;4;6;;;;;;;211;
12;2018;214;121;1;1;378;365;372;;1;1;1;4;4;6;;;;;;;216;
12;2018;215;101;1;1;364;357;361;;1;1;1;4;4;6;;;;;;;213;
12;2018;216;411;1;1;105;104;105;;3;2;3;5;6;4;;;;G12;;;215;
12;2018;217;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;218;121;1;1;195;200;198;;2;3;3;5;6;4;;;;G52;;;220;
12;2018;219;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;220;411;1;1;138;140;139;;3;3;3;5;6;4;;;;G13;;;214;
12;2018;221;101;1;1;514;466;490;;1;1;1;4;4;6;;;;;;;223;
12;2018;222;121;1;1;257;259;258;;1;1;2;5;5;5;;;;;;;221;
12;2018;223;101;1;1;372;391;382;;1;1;1;4;4;6;;;;;;;218;
12;2018;224;411;1;1;96;97;97;;3;1;3;5;6;4;;;;;;;222;
12;2018;226;121;1;1;766;744;755;P;1;1;1;4;4;6;44.3;27.5;64;;;;224;
12;2018;227;101;9;7;290;278;284;;;;;;;;;;;;;;226;
12;2018;228;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;229;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;230;101;1;1;475;459;467;;1;1;1;4;4;6;;;;;;;227;
12;2018;231;101;4;4;;;0;;;;;;;;;;;;;;;
12;2018;232;101;1;1;404;402;403;;1;1;1;4;4;6;;;;;;;230;
12;2018;233;101;1;1;390;394;392;;1;1;1;4;4;6;;;;;;;232;
12;2018;234;101;1;1;388;402;395;;1;1;1;4;4;6;;;;;;;233;
12;2018;235;101;1;1;504;511;508;;1;1;1;4;4;6;;;;;;;238;
12;2018;236;411;1;1;104;114;109;;3;2;2;5;6;4;;;;G51;;;234;
12;2018;237;101;3;8;278;282;280;;;;;;;;10.4;;;;;;236;
12;2018;238;121;1;1;449;416;433;;1;1;1;4;4;6;;;;;;;237;
12;2018;240;101;9;7;190;179;185;;;;;;;;;;;;;;235;
12;2018;243;411;9;9;;;0;;;;;;;;;;;;;;;
12;2018;244;101;9;8;324;345;335;;;;;;;;7.4;;;;;;248;
12;2018;246;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;247;101;1;1;364;364;364;;1;1;1;4;4;6;;;;;;;240;
12;2018;248;121;1;1;433;434;434;;1;1;1;4;4;6;;;;;;;249;
12;2018;249;411;1;1;114;110;112;;3;1;1;5;6;4;;;;;;;247;
12;2018;250;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;251;121;1;1;703;662;683;;1;1;1;4;4;6;;;;;;;253;
12;2018;252;101;1;1;459;458;459;;1;1;1;4;4;6;;;;;;;258;
12;2018;253;411;1;1;84;87;86;;3;2;2;5;6;4;;;;G52;;;249;
12;2018;254;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;255;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;256;411;1;1;144;141;143;;3;1;3;5;6;4;;;;F4;F2;;251;
12;2018;257;411;1;1;227;218;223;;3;2;1;5;6;4;;;;F4;;;256;
12;2018;258;411;1;1;107;112;110;P;3;1;2;5;6;4;12.6;2.1;4;;;;257;
12;2018;259;411;1;1;147;180;164;;3;2;2;5;6;4;;;;G52;;;258;
