f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
9;2018;1;101;1;1;451;454;453;;1;1;1;4;4;6;;;;S21;F6;;Start
9;2018;2;411;1;1;232;212;222;;2;2;2;4;6;6;;;;G1;G51;P2;1
9;2018;5;101;1;1;448;460;454;;1;1;1;4;4;6;;;;;;;7
9;2018;7;121;1;1;402;390;396;;1;1;1;4;4;6;;;;S21;G11;;123
9;2018;13;101;1;1;385;387;386;;1;1;1;4;4;6;;;;G12;S21;;5
9;2018;14;101;1;1;477;493;485;;1;2;2;5;5;6;;;;G12;S21;;15
9;2018;15;101;9;8;63;64;64;;;;;;;;2.7;;;;;;13
9;2018;16;411;1;1;165;172;169;;3;2;1;4;6;4;;;;G12;;;15
9;2018;17;411;1;1;173;177;175;;2;2;2;5;6;4;;;;F2;S21;;22
9;2018;20;101;1;1;480;484;482;;1;1;1;4;4;6;;;;S21;F2;S4;17
9;2018;21;101;1;1;379;386;383;;1;2;2;5;5;6;;;;S4;S21;;20
9;2018;22;441;1;1;209;235;222;;2;2;2;5;6;6;;;;P2;F2;G12;23
9;2018;23;101;1;1;466;460;463;;1;1;1;4;4;6;;;;S4;F51;;21
9;2018;24;101;1;1;632;612;622;;1;2;1;5;5;6;;;;P4;H0;;29
9;2018;26;101;1;1;345;350;348;;1;1;1;4;4;6;;;;S21;;;24
9;2018;27;101;1;1;292;230;261;;2;3;3;5;6;6;;;;G21;;;23
9;2018;28;101;1;1;496;487;492;;1;1;1;4;4;6;;;;F6;;;27
9;2018;29;101;1;1;297;306;302;;1;2;2;6;5;6;;;;S4;S21;F51, G21;28
9;2018;32;411;1;1;153;145;149;;2;2;2;5;6;4;;;;S21;G12;;35
9;2018;33;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;35;411;1;1;144;152;148;;3;2;2;5;6;4;;;;G5;G1;P3, S21;46
9;2018;39;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;46;411;4;4;;;0;;;;;;;;;;;;;;
9;2018;49;121;1;1;509;500;505;;1;1;1;4;4;6;;;;S21;;;32
9;2018;51;121;9;9;;;;;;;;;;;;;;;;;
9;2018;52;101;1;1;320;314;317;;1;2;2;5;5;5;;;;S21;;;49
9;2018;54;411;1;1;210;199;205;;2;1;2;4;6;4;;;;G12;;;52
9;2018;55;411;1;1;162;155;159;;3;2;2;5;6;4;;;;G5;;;97
9;2018;56;121;1;1;730;748;739;;1;1;1;4;4;5;;;;;;;55
9;2018;60;121;1;1;746;762;754;;1;1;1;4;4;6;;;;;;;86
9;2018;62;121;1;1;371;378;375;;1;2;2;5;5;5;;;;P2;;;60
9;2018;63;101;1;1;503;507;505;;1;1;1;4;4;6;;;;F3;;;62
9;2018;64;101;1;1;416;387;402;P;1;1;1;4;4;6;37.4;27.7;34;S4;;;63
9;2018;65;101;9;8;371;355;363;;;;;;;;17.2;;;P3;P95;;64
9;2018;67;101;1;1;614;583;599;;1;1;1;4;4;6;;;;F3;;;68
9;2018;68;411;1;1;128;125;127;;3;2;3;5;6;4;;;;S21;G12;;65
9;2018;70;101;1;1;394;390;392;;1;1;1;4;4;6;;;;S21;S4;;67
9;2018;71;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;72;101;1;1;370;371;371;;1;1;1;4;4;6;;;;;;;70
9;2018;73;101;1;1;578;599;589;;1;1;1;4;4;6;;;;F6;F3;;72
9;2018;74;101;1;1;210;210;210;;2;2;3;6;6;6;;;;F51;G21;F6, G12;73
9;2018;75;121;1;1;724;781;753;;1;1;1;4;4;5;;;;P4;F6;S2, P2;74
9;2018;76;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;77;411;1;1;181;187;184;;2;1;2;4;6;4;;;;G12;;;75
9;2018;78;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;79;411;1;1;274;295;285;;2;1;2;4;6;4;;;;S2;G5;P2, F21;77
9;2018;81;121;1;1;410;394;402;;1;1;1;4;4;5;;;;S21;;;65
9;2018;82;411;1;1;162;168;165;;2;1;2;5;6;4;;;;F21;G12;;81
9;2018;85;101;1;1;426;416;421;;1;1;1;4;4;6;;;;S4;;;82
9;2018;86;101;1;1;386;384;385;;1;1;1;4;4;6;;;;;;;87
9;2018;87;101;1;1;340;335;338;;1;1;1;4;4;6;;;;S4;;;85
9;2018;88;121;4;4;;;0;;;;;;;;;;;;;;
9;2018;89;411;1;1;110;105;108;;3;2;2;4;6;4;;;;G12;;;91
9;2018;91;121;1;1;705;706;706;;1;2;1;5;5;5;;;;H1;P4;S2, P2;94
9;2018;94;121;1;1;650;662;656;P;1;1;1;4;4;6;38.9;24.2;50;;;;87
9;2018;96;101;1;1;365;346;356;;1;1;1;4;4;6;;;;S4;;;89
9;2018;97;101;1;1;307;304;306;;1;1;1;4;4;6;;;;S4;;;49
9;2018;98;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;100;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;101;101;1;1;447;382;415;;1;1;1;4;4;6;;;;;;;96
9;2018;103;411;1;1;113;110;112;;3;3;3;5;6;4;;;;G12;;;101
9;2018;104;121;3;7;225;214;220;;;;;;;;;;;P95;;;105
9;2018;105;411;1;1;180;192;186;;3;2;2;4;6;4;;;;;;;111
9;2018;106;101;1;1;324;340;332;;1;2;2;5;5;6;;;;F52;;;104
9;2018;107;101;9;5;229;245;237;;;;;;;;;;;P95;P3;;
9;2018;108;101;1;1;551;635;593;;1;1;1;4;4;6;;;;S0;;;109
9;2018;109;101;3;7;72;75;74;;;;;;;;;;;;;;106
9;2018;110;101;1;1;280;299;290;;1;2;2;5;5;6;;;;G5;G1;;113
9;2018;111;101;1;1;320;329;325;;1;2;2;4;4;6;;;;S21;F51;;24
9;2018;113;411;1;1;180;189;185;;2;2;2;5;6;4;;;;S21;F2;P2, G1;111
9;2018;114;101;1;1;376;390;383;;1;1;1;4;4;6;;;;;;;176
9;2018;115;101;9;6;253;255;254;;;;;;;;;;;P95;;;114
9;2018;117;101;3;8;163;155;159;;;;;;;;2.7;;;P92;;;115
9;2018;120;411;9;9;;;0;;;;;;;;;;;;;;
9;2018;122;101;1;1;465;492;479;;1;1;1;4;4;6;;;;H1;S4;;123
9;2018;123;101;1;1;455;454;455;;1;1;1;4;4;6;;;;;;;125
9;2018;124;101;1;1;543;567;555;;1;1;1;4;4;6;;;;S21;;;16
9;2018;125;101;1;1;727;620;674;;1;1;1;4;4;6;;;;;;;129
9;2018;126;411;9;5;119;120;120;;;;;;;;;;;F1;;;
9;2018;129;411;1;1;220;218;219;;2;2;2;4;6;4;;;;;;;124
9;2018;132;101;9;8;83;83;83;;;;;;;;7.1;;;P95;;;135
9;2018;133;121;1;1;526;600;563;;1;1;1;4;4;6;;;;H0;F51;;135
9;2018;135;101;1;1;409;425;417;;1;1;1;4;4;6;;;;S4;F3;F2;137
9;2018;136;121;3;8;262;258;260;;;;;;;;2.8;;;P3;;;781
9;2018;137;101;1;1;487;483;485;;1;1;1;4;4;6;;;;S4;F3;P2;2
9;2018;139;121;4;4;;;0;;;;;;;;;;;;;;
9;2018;140;101;1;1;484;463;474;;1;1;1;4;4;6;;;;F6;;;132
9;2018;143;101;1;1;488;489;489;;1;1;1;4;4;6;;;;;;;147
9;2018;144;121;1;1;115;113;114;;3;2;3;6;6;6;;;;G1;S2;S4;143
9;2018;145;101;1;1;785;837;811;;1;1;1;4;4;6;;;;P2;S2;;144
9;2018;146;101;1;1;377;342;360;;1;2;1;5;5;6;;;;F6;S0;;140
9;2018;147;101;1;1;492;464;478;;1;2;1;5;5;6;;;;P4;S2;S4, H1;146
9;2018;149;411;1;1;135;127;131;;3;1;2;5;6;4;;;;G1;G5;;301
9;2018;150;411;1;1;100;118;109;;3;2;3;5;6;4;;;;G1;P2;;751
9;2018;151;441;1;1;375;438;407;;1;2;2;4;6;6;;;;P2;F2;;149
9;2018;152;101;1;1;511;487;499;;1;3;1;6;6;6;;;;G5;F6;H1;153
9;2018;153;101;1;1;330;327;329;;1;3;2;6;6;6;;;;F6;;;151
9;2018;159;411;1;1;107;103;105;;3;2;2;5;6;4;;;;F5;P2;;163
9;2018;160;101;9;8;390;388;389;;;;;;;;2.1;;;;;;126
