f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
10;2018;1;101;1;1;565;525;545;;1;1;1;4;4;5;;;;;;;Start
10;2018;2;411;1;1;122;124;123;;3;1;2;5;6;4;;;;;;;1
10;2018;3;101;9;7;362;363;363;;;;;;;;;;;;;;2
10;2018;4;441;1;1;297;312;305;;2;1;2;5;6;4;;;;F7;;;9
10;2018;5;101;1;1;404;377;391;;1;1;2;4;4;6;;;;;;;3
10;2018;6;101;1;1;565;546;556;;1;1;1;4;4;6;;;;;;;4
10;2018;7;411;1;1;293;268;281;;2;1;1;5;6;5;;;;;;;5
10;2018;8;101;1;1;676;562;619;;1;1;1;4;4;6;;;;;;;6
10;2018;9;101;1;1;441;462;452;;1;1;1;4;4;6;;;;F52;;;7
10;2018;10;101;1;1;369;347;358;;1;1;1;4;4;6;;;;;;;8
10;2018;11;411;1;1;134;131;133;;3;1;2;5;6;4;;;;;;;10
10;2018;12;101;1;1;341;328;335;;1;1;2;4;4;6;;;;;;;14
10;2018;13;101;1;1;254;242;248;;2;1;2;5;6;4;;;;;;;11
10;2018;14;411;1;1;137;139;138;;3;1;1;5;6;4;;;;;;;15
10;2018;15;101;1;1;533;588;561;;1;1;1;4;4;6;;;;;;;13
10;2018;16;101;1;1;355;346;351;;1;1;1;4;4;6;;;;;;;12
10;2018;17;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;18;411;1;1;176;169;173;;2;1;2;5;6;4;;;;;;;16
10;2018;19;101;1;1;412;415;414;;1;1;1;4;4;6;;;;;;;18
10;2018;20;101;1;1;547;536;542;;1;1;1;4;4;6;;;;;;;21
10;2018;21;101;9;8;337;329;333;;;;;;;;2.2;;;;;;22
10;2018;22;411;1;1;154;157;156;;3;1;1;5;6;4;;;;;;;23
10;2018;23;101;9;5;191;183;187;;;;;;;;;;;;;;
10;2018;24;411;1;1;165;191;178;;3;1;1;5;6;4;;;;;;;27
10;2018;25;101;1;1;553;562;558;;1;1;1;4;4;6;;;;;;;19
10;2018;26;101;1;1;266;261;264;;2;2;2;5;5;4;;;;;;;24
10;2018;27;101;1;1;317;338;328;;1;1;2;4;4;6;;;;;;;25
10;2018;28;101;1;1;513;507;510;;1;1;1;4;4;6;;;;;;;26
10;2018;29;101;1;1;362;349;356;;1;1;1;4;4;6;;;;F52;;;20
10;2018;30;101;1;1;307;302;305;;1;1;2;4;4;6;;;;;;;33
10;2018;31;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;32;101;1;1;224;232;228;;2;1;1;5;5;6;;;;;;;30
10;2018;33;101;1;1;353;362;358;;1;1;1;4;4;6;;;;;;;28
10;2018;34;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;35;101;1;1;290;189;240;;1;1;2;4;4;6;;;;;;;32
10;2018;36;101;9;7;466;489;478;;;;;;;;;;;;;;35
10;2018;38;411;1;1;135;137;136;;3;1;1;5;6;4;;;;;;;36
10;2018;39;411;1;1;94;99;97;;3;1;2;5;6;4;;;;;;;40
10;2018;40;101;1;1;468;446;457;;1;1;1;4;4;6;;;;;;;38
10;2018;41;101;1;1;293;330;312;;1;1;1;4;4;6;;;;;;;44
10;2018;42;411;1;1;99;92;96;;3;1;1;5;6;4;;;;;;;41
10;2018;43;101;1;1;343;366;355;;1;1;2;4;4;6;;;;;;;42
10;2018;44;411;1;1;119;116;118;;3;1;1;5;6;4;;;;;;;39
10;2018;45;101;1;1;478;467;473;;;;;;;;;;;;;;47
10;2018;46;411;1;5;91;89;90;;3;3;3;5;6;4;;;;;;;45
10;2018;47;411;1;1;85;84;85;;3;1;2;5;6;4;;;;;;;48
10;2018;48;101;1;1;455;443;449;;1;1;1;4;4;6;;;;;;;47
10;2018;49;101;1;1;403;364;384;;1;3;3;5;4;6;;;;G22;S4;;46
10;2018;50;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;51;101;9;8;254;250;252;;;;;;;;2;;;;;;49
10;2018;52;101;1;1;309;299;304;;1;1;2;4;4;6;;;;;;;53
10;2018;53;101;1;1;491;458;475;;1;1;1;4;4;6;;;;;;;51
10;2018;54;101;1;1;432;484;458;;1;1;1;4;4;6;;;;;;;52
10;2018;55;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;56;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;57;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;58;411;9;9;;;0;;;;;;;;;;;;;;
10;2018;59;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;60;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;61;101;1;1;297;225;261;;2;1;1;4;5;6;;;;;;;54
10;2018;62;101;1;1;403;362;383;;1;1;1;4;4;6;;;;;;;61
10;2018;63;101;1;1;402;389;396;;1;2;1;5;4;6;;;;S4;;;65
10;2018;64;101;9;9;;;0;;;;;;;;;;;;;;
10;2018;65;101;1;1;332;318;325;;1;3;3;6;5;6;;;;F2;F51;;62
10;2018;66;101;9;5;350;349;350;;;;;;;;;;;;;;65
10;2018;67;101;1;1;282;293;288;;1;3;3;5;4;6;;;;G52;;;68
10;2018;68;101;9;8;288;295;292;;;;;;;;12.5;;;;;;66
10;2018;69;101;1;1;260;247;254;;1;1;2;4;4;6;;;;;;;67
10;2018;70;101;1;1;379;351;365;;1;1;1;4;4;6;;;;S4;F52;;69
10;2018;71;101;9;7;215;233;224;;;;;;;;;;;;;;72
10;2018;72;101;9;8;260;267;264;;;;;;;;13.4;;;;;;70
10;2018;74;101;9;8;366;363;365;;;;;;;;11.4;;;;;;71
10;2018;75;101;9;8;230;235;233;;;;;;;;13.6;;;;;;74
10;2018;76;411;1;1;293;299;296;;2;1;2;5;6;4;;;;;;;77
10;2018;77;101;1;1;483;484;484;;1;1;1;4;4;6;;;;;;;75
10;2018;78;411;1;1;126;141;134;;3;1;1;5;6;4;;;;;;;76
10;2018;80;411;1;1;109;117;113;;3;3;3;5;6;4;;;;G51;;;78
