f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
3;2018;6;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;10;101;9;7;520;500;510;;;;;;;;;;;;;;14
3;2018;12;101;9;8;427;431;429;;;;;;;;4.1;;;P3;A1;;10
3;2018;13;101;3;8;271;280;276;;;;;;;;8.7;;;;;;655
3;2018;14;101;3;8;522;520;521;;;;;;;;2.9;;;A1;;;13
3;2018;16;101;3;8;;;0;;;;;;;;;;;A3;;;
3;2018;17;101;9;8;217;242;230;;;;;;;;10.2;;;A1;;;19
3;2018;18;411;1;1;262;272;267;;1;2;2;5;6;4;;;;F4;;;17
3;2018;19;101;3;8;400;412;406;;;;;;;;2.4;;;;;;564
3;2018;20;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;21;101;3;7;432;420;426;;;;;;;;;;;;;;26
3;2018;22;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;23;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;25;121;1;1;311;236;274;;1;2;2;4;5;6;;;;S23;;;97
3;2018;26;411;1;1;166;169;168;;3;2;2;5;6;4;;;;F22;G10;S01;25
3;2018;27;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;28;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;29;101;1;1;430;471;451;;1;1;1;4;4;6;;;;;;;91
3;2018;30;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;31;101;9;8;437;413;425;;;;;;;;3.6;;;;;;31
3;2018;32;121;1;1;619;642;631;;1;1;1;4;4;6;;;;;;;33
3;2018;33;411;1;1;177;172;175;;3;3;3;6;5;4;;;;G13;;;36
3;2018;34;101;1;1;562;579;571;;1;1;1;4;4;6;;;;;;;33
3;2018;35;411;1;1;156;168;162;P;2;1;2;5;6;4;;;;;;;34
3;2018;36;101;1;1;486;513;500;;1;1;1;4;4;6;;;;S03;;;88
3;2018;38;101;9;9;;;0;;;;;;;;;;;;;;
3;2018;41;101;1;1;589;570;580;;1;1;1;4;4;6;;;;;;;649
3;2018;44;101;4;4;;;0;;;;;;;;;;;;;;
3;2018;45;101;1;1;268;269;269;;1;1;2;4;5;6;;;;;;;48
3;2018;46;411;4;4;;;0;;;;;;;;;;;;;;
3;2018;47;101;1;1;468;474;471;;1;1;1;4;4;6;;;;;;;57
3;2018;48;101;1;1;544;591;568;;1;1;1;4;4;6;;;;;;;50
3;2018;49;411;1;1;185;190;188;;2;1;2;5;6;4;;;;;;;45
3;2018;50;121;1;1;535;520;528;;1;1;1;4;4;6;;;;;;;51
3;2018;51;411;1;1;145;142;144;P;3;1;1;5;6;4;12.5;2.5;9;;;;47
3;2018;53;121;1;1;725;722;724;;1;1;1;4;4;6;;;;;;;Start
3;2018;54;411;4;4;;;0;;;;;;;;;;;;;;
3;2018;55;101;4;4;;;0;;;;;;;;;;;;;;
3;2018;57;411;4;4;;;0;;;;;;;;;;;;;;
3;2018;57;101;1;1;530;498;514;;1;1;1;4;4;6;;;;S4;;;651
3;2018;61;121;1;1;605;601;603;;1;1;1;4;4;6;;;;;;;67
3;2018;62;101;9;5;162;164;163;;;;;;;;;;;;;;61
3;2018;64;121;1;1;291;297;294;;2;3;2;5;6;5;;;;P2;;;74
3;2018;65;411;1;1;212;221;217;;2;1;1;5;6;4;;;;;;;64
3;2018;67;101;3;7;264;287;276;;;;;;;;;;;A1;;;68
3;2018;68;101;9;5;350;311;331;;;;;;;;;;;P3;;;65
3;2018;69;121;9;7;295;278;287;;;;;;;;;;;P3;A1;;70
3;2018;70;411;1;1;105;110;108;;3;1;2;5;6;4;;;;;;;73
3;2018;71;411;3;8;119;110;115;;;;;;;;2.1;;;;;;76
3;2018;72;411;1;1;345;319;332;;1;1;2;5;6;5;;;;;;;71
