f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
8;2018;1;121;1;1;229;226;228;;2;3;3;6;5;4;;;;F29;;;Start
8;2018;2;411;9;9;;;0;;;;;;;;;;;;;;
8;2018;3;411;1;1;156;156;156;;2;2;2;5;6;4;;;;G1;;;1
8;2018;4;101;1;1;290;299;295;;1;2;2;5;4;6;;;;G1;;;3
8;2018;5;121;1;1;542;521;532;;1;1;1;4;4;6;;;;;;;4
8;2018;7;411;1;1;120;125;123;;3;2;2;5;6;4;;;;;;;5
8;2018;8;121;1;1;80;84;82;;3;3;3;5;6;4;;;;G22;;;7
8;2018;9;101;3;6;394;364;379;;;;;;;;;;;;;;187
8;2018;10;101;1;1;253;264;259;;1;3;3;5;6;4;;;;S4;S22;;11
8;2018;11;411;1;1;100;102;101;;3;2;2;5;6;4;;;;G1;F21;;182
8;2018;12;411;1;1;89;77;83;;3;3;3;5;6;4;;;;S21;G51;;10
8;2018;13;411;4;4;;;0;;;;;;;;;;;;;;
8;2018;14;101;3;7;185;195;190;;;;;;;;;;;;;;5
8;2018;16;101;1;1;439;412;426;;1;1;1;4;5;6;;;;S21;;;17
8;2018;17;101;1;5;196;192;194;;;;;;;;;;;;;;18
8;2018;18;411;1;1;106;107;107;;3;3;3;5;6;5;;;;F29;S0;;19
8;2018;19;411;9;8;80;79;80;;;;;;;;3.5;;;;;;14
8;2018;20;101;9;6;230;232;231;;;;;;;;;;;;;;16
8;2018;21;411;1;1;127;131;129;;3;2;1;5;5;4;;;;S21;G12;;20
8;2018;23;101;1;1;555;495;525;;1;1;1;4;4;6;;;;S21;;;21
8;2018;25;411;9;9;;;0;;;;;;;;;;;;;;
8;2018;28;121;1;1;486;511;499;;1;1;1;4;4;6;;;;S21;;;29
8;2018;29;101;1;1;391;362;377;;1;1;1;4;4;6;;;;;;;12
8;2018;31;121;1;1;371;359;365;;1;2;1;5;5;6;;;;P2;;;23
8;2018;32;411;1;1;122;123;123;;3;2;3;5;6;4;;;;;;;31
8;2018;33;101;1;1;302;355;329;;1;1;1;4;4;6;;;;;;;32
8;2018;34;101;1;1;149;150;150;;3;3;3;6;6;6;;;;S23;G52;;31
8;2018;35;101;1;1;418;441;430;;1;1;1;4;5;6;;;;;;;34
8;2018;36;101;1;1;316;311;314;;1;2;2;4;5;6;;;;G51;;;35
8;2018;37;411;9;9;;;0;;;;;;;;;;;;;;
8;2018;38;101;1;1;427;447;437;;1;1;1;4;4;6;;;;;;;40
8;2018;39;101;3;7;210;205;208;;;;;;;;;;;;;;38
8;2018;40;411;1;1;250;225;238;;2;2;2;5;6;4;;;;F52;S21;;146
8;2018;42;101;1;1;496;486;491;;1;1;1;4;4;6;;;;S21;;;39
8;2018;43;101;1;1;499;503;501;;1;2;2;4;4;6;;;;S22;F51;;42
8;2018;48;121;1;1;603;639;621;;1;1;1;4;4;6;;;;;;;43
8;2018;59;411;1;1;133;172;153;;3;2;3;5;6;4;;;;G52;P2;;133
8;2018;66;101;1;1;682;656;669;;1;1;1;4;4;6;;;;;;;59
8;2018;73;411;1;1;177;178;178;;3;2;3;5;6;4;;;;G12;;;79
8;2018;79;411;1;1;139;134;137;;3;2;3;5;6;4;;;;F2;G12;;82
8;2018;82;411;1;1;233;187;210;;3;2;3;5;6;4;;;;G12;P4;;87
8;2018;87;411;1;1;199;198;199;;3;3;3;5;6;4;;;;G1;S21;P4;91
8;2018;90;411;1;1;279;277;278;;2;2;2;5;6;4;;;;F2;S21;P4;93
8;2018;91;411;1;1;154;157;156;;3;2;2;5;6;4;;;;;;;90
8;2018;93;411;1;1;164;167;166;;3;3;3;5;6;4;;;;F21;S22;;114
8;2018;108;411;1;1;189;185;187;;3;2;3;5;6;4;;;;S22;G1;;110
8;2018;110;411;1;1;179;192;186;;3;2;2;5;6;4;;;;G1;P4;;115
8;2018;111;411;1;1;227;245;236;;3;2;2;5;6;4;;;;F21;S21;G12;108
8;2018;113;101;1;1;616;619;618;;1;1;1;4;4;6;;;;;;;111
8;2018;114;101;1;1;564;560;562;;1;1;1;4;4;6;;;;S21;S4;;113
8;2018;115;101;1;1;511;492;502;;1;2;2;5;4;6;;;;P4;G1;H1;114
8;2018;121;411;1;1;377;354;366;;1;1;1;4;5;5;;;;;;;122
8;2018;122;101;1;1;417;391;404;;1;3;1;4;6;6;;;;G52;;;123
8;2018;123;101;1;1;377;396;387;;1;2;1;4;4;6;;;;S4;;;125
8;2018;125;411;1;1;221;226;224;;2;2;2;5;6;4;;;;S21;P4;;127
8;2018;126;101;1;1;555;533;544;;1;1;1;4;4;6;;;;;;;128
8;2018;127;101;1;1;595;579;587;;1;2;1;5;4;6;;;;S4;S21;;126
8;2018;128;411;1;1;293;320;307;;1;2;2;5;4;6;;;;S21;;;129
8;2018;129;101;1;1;277;284;281;;1;1;2;4;4;6;;;;S21;;;130
8;2018;130;101;1;1;523;526;525;;1;1;1;4;4;6;;;;;;;131
8;2018;131;411;1;1;248;259;254;;2;2;2;5;6;5;;;;G1;;;253
8;2018;132;121;1;1;341;342;342;;1;1;1;4;5;6;;;;G52;;;131
8;2018;133;121;9;5;165;164;165;;;;;;;;;;;F3;;;
8;2018;140;411;1;1;83;92;88;;3;2;2;5;5;4;;;;G12;;;143
8;2018;143;101;1;1;499;487;493;;1;1;1;4;4;6;;;;;;;145
8;2018;145;121;1;1;206;192;199;;2;3;3;5;6;4;;;;S23;G52;;146
8;2018;146;101;1;1;502;501;502;;1;1;1;4;4;6;;;;;;;149
8;2018;149;411;1;1;272;287;280;;2;1;1;4;6;5;;;;;;;162
8;2018;150;101;3;6;262;262;262;;;;;;;;;;;;;;154
8;2018;152;101;3;7;354;376;365;;;;;;;;;;;P95;;;150
8;2018;154;101;1;1;452;459;456;;1;1;1;4;4;6;;;;;;;152
8;2018;155;101;1;1;380;403;392;;1;2;1;4;4;6;;;;;;;158
8;2018;156;411;1;1;132;114;123;;3;2;3;5;6;4;;;;F2;;;155
8;2018;157;411;1;1;110;105;108;;3;1;3;5;6;4;;;;F2;;;156
8;2018;158;411;1;1;90;101;96;;3;3;3;5;6;4;;;;F2;;;159
8;2018;159;411;1;1;72;71;72;;3;2;3;5;6;4;;;;;;;160
8;2018;160;411;1;1;67;69;68;;3;2;3;5;6;4;;;;F2;;;161
8;2018;161;101;1;1;183;195;189;;2;2;3;5;5;6;;;;G51;;;163
8;2018;162;411;1;1;76;63;70;;3;2;3;5;6;4;;;;;;;33
8;2018;163;101;1;1;448;438;443;;1;1;1;4;4;6;;;;;;;164
8;2018;164;121;1;1;255;262;259;;1;1;2;4;4;6;;;;;;;160
8;2018;165;101;1;1;238;245;242;;1;2;2;4;4;6;;;;;;;167
8;2018;167;101;1;1;310;314;312;;1;1;2;4;4;6;;;;;;;169
8;2018;170;121;1;1;291;316;304;;1;1;2;4;4;6;;;;;;;162
8;2018;171;101;1;1;439;444;442;;1;1;1;4;4;6;;;;;;;170
8;2018;173;101;1;1;416;403;410;;1;1;1;4;4;6;;;;S21;;;178
8;2018;178;101;1;1;372;383;378;;1;1;1;4;4;6;;;;;;;181
8;2018;180;101;1;1;472;470;471;;1;1;1;4;4;6;;;;;;;182
8;2018;181;411;1;1;149;139;144;;3;2;2;5;6;4;;;;;;;180
8;2018;182;411;1;1;107;112;110;;3;2;3;5;6;4;;;;G51;;;136
8;2018;183;101;1;1;365;359;362;;1;1;1;4;4;6;;;;;;;191
8;2018;186;101;3;6;310;317;314;;;;;;;;;;;;;;188
8;2018;187;101;3;6;290;288;289;;;;;;;;;;;P95;;;186
8;2018;188;411;1;1;85;86;86;;3;2;3;5;6;4;;;;G51;;;190
8;2018;189;411;1;1;76;80;78;;3;3;3;6;6;4;;;;F29;;;193
8;2018;190;101;1;1;338;347;343;;1;1;1;4;4;6;;;;F3;;;192
8;2018;191;411;1;1;100;95;98;;3;2;3;5;6;4;;;;G1;;;189
8;2018;192;101;1;1;444;442;443;;1;1;1;4;4;6;;;;F29;G51;;8
8;2018;193;101;1;1;476;459;468;;1;2;1;4;4;6;;;;F3;;;194
8;2018;194;101;1;1;332;321;327;;1;3;3;5;4;6;;;;G13;;;191
8;2018;195;121;1;1;417;517;467;;1;1;1;4;4;6;;;;S02;;;193
8;2018;201;411;1;1;80;72;76;;3;2;3;5;6;4;;;;F2;G1;;211
8;2018;202;101;1;1;390;397;394;;1;2;2;5;4;6;;;;S4;;;204
8;2018;203;101;1;1;338;368;353;;1;1;1;4;4;6;;;;;;;205
8;2018;204;101;1;1;373;379;376;;1;1;1;4;4;6;;;;;;;207
8;2018;205;411;1;1;72;72;72;;3;2;3;5;6;4;;;;G1;;;202
8;2018;207;101;1;1;376;370;373;;1;1;1;5;4;6;;;;S4;;;208
8;2018;208;101;1;1;365;372;369;;1;2;1;5;4;6;;;;S21;;;209
8;2018;209;101;1;1;382;371;377;;1;2;1;5;6;4;;;;S21;S4;;217
8;2018;210;101;1;1;432;449;441;;1;1;1;4;4;6;;;;S4;;;211
8;2018;211;411;1;1;153;144;149;;2;2;3;5;6;4;;;;F2;P2;;210
8;2018;217;101;3;7;171;156;164;;;;;;;;;;;;;;219
8;2018;219;411;1;1;217;207;212;;2;1;2;5;6;4;;;;;;;221
8;2018;221;101;1;1;278;256;267;;1;2;2;4;5;4;;;;;;;231
8;2018;222;411;1;1;78;78;78;;3;2;3;5;6;4;;;;G1;;;223
8;2018;223;101;1;1;482;499;491;;1;1;1;4;4;6;;;;;;;234
8;2018;224;101;1;1;324;353;339;;1;2;2;5;5;6;;;;S21;S4;;225
8;2018;225;411;1;1;72;73;73;;3;2;3;5;6;4;;;;G21;;;222
8;2018;227;101;3;6;183;189;186;;;;;;;;;;;;;;228
8;2018;228;101;1;1;141;134;138;;2;3;3;5;5;5;;;;G1;;;227
8;2018;230;101;9;7;264;275;270;;;;;;;;;;;;;;372
8;2018;231;411;1;1;236;245;241;;1;2;2;5;5;4;;;;S21;F51;;157
8;2018;232;411;1;1;86;92;89;;3;2;3;5;6;4;;;;F2;P2;;231
8;2018;233;411;1;1;112;100;106;;3;2;3;5;6;4;;;;F2;;;233
8;2018;234;101;9;8;350;347;349;;;;;;;;14.1;;;H0;;;233
8;2018;235;101;9;7;161;147;154;;;;;;;;;;;F92;;;234
8;2018;236;411;1;1;130;125;128;;3;2;3;5;6;4;;;;F2;G21;;235
8;2018;237;411;1;1;133;112;123;;3;2;3;5;6;4;;;;G1;P2;;236
8;2018;252;411;9;5;120;114;117;;;;;;;;;;;;;;339
8;2018;253;411;1;1;214;203;209;;2;2;3;5;6;4;;;;F2;G12;;254
8;2018;254;101;9;6;334;322;328;;;;;;;;;;;;;;258
8;2018;255;121;1;1;491;532;512;;1;1;1;4;4;6;;;;S1;F51;;339
8;2018;256;121;1;1;640;672;656;;1;2;1;5;4;6;;;;H1;P4;;255
8;2018;258;121;1;1;466;507;487;;1;2;1;5;4;6;;;;P2;;;259
8;2018;259;101;9;5;;;0;;;;;;;;;;;;;;
8;2018;260;101;9;5;;;0;;;;;;;;;;;;;;
8;2018;264;121;1;1;540;534;537;;1;1;1;4;4;6;;;;G12;F52;;126
8;2018;265;411;1;1;225;252;239;;2;2;3;5;6;4;;;;F2;P2;;264
8;2018;266;411;4;4;;;0;;;;;;;;;;;;;;
8;2018;268;411;1;1;194;190;192;;3;1;1;5;5;6;;;;;;;264
8;2018;276;411;1;1;254;245;250;;2;2;2;5;6;5;;;;F2;S21;;278
