f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;;;
1;2018;319;411;1;1;144;151;148;;3;1;1;5;6;4;;;;;;;317;;;
1;2018;321;101;9;6;166;178;172;;;;;;;;;;;;;;280;;;
1;2018;322;411;1;1;108;111;110;;3;1;2;5;6;4;;;;;;;324;;;
1;2018;323;101;1;1;333;370;352;;1;1;2;4;4;6;;;;;;;322;;;
1;2018;324;101;1;1;327;331;329;P;1;1;2;4;4;6;36.7;21.4;30;;;;325;;;
1;2018;325;121;1;1;509;523;516;;1;1;1;4;4;6;;;;;;;319;;;
1;2018;326;101;1;1;276;287;282;;1;1;2;4;4;6;;;;;;;327;;;
1;2018;327;101;1;1;395;401;398;;1;1;1;4;4;6;;;;;;;344;;;
1;2018;328;121;1;1;217;220;219;;2;2;3;5;6;4;;;;G51;;;327;;;
1;2018;329;101;1;1;486;473;480;P;1;1;1;4;4;6;36.7;21.4;30;;;;328;;;
1;2018;330;411;1;1;200;197;199;;2;1;2;5;6;4;;;;F22;;;329;;;
1;2018;331;101;1;1;555;608;582;;1;1;1;4;4;6;;;;;;;333;;;
1;2018;332;411;1;1;134;148;141;;3;1;1;5;6;4;;;;;;;330;;;
1;2018;333;121;1;1;604;633;619;;1;1;1;4;4;6;;;;;;;332;;;
1;2018;334;101;1;1;388;402;395;P;1;1;1;4;4;6;35.9;22.6;31;;;;680;;;
1;2018;335;411;1;1;119;118;119;;3;1;1;5;6;4;;;;;;;334;;;
1;2018;336;411;1;1;123;154;139;;3;1;1;5;6;4;;;;;;;335;;;
1;2018;337;411;1;1;90;88;89;;3;1;2;5;6;4;;;;;;;336;;;
1;2018;338;101;9;7;232;232;232;;;;;;;;;;;;;;337;;;
1;2018;339;101;3;5;420;440;430;;;;;;;;;;;;;;;;;
1;2018;340;121;1;1;662;664;663;P;1;1;1;4;4;6;44.6;28.4;59;;;;341;;;
1;2018;341;411;1;1;148;155;152;;3;1;2;5;6;4;;;;F2;;;342;;;
1;2018;342;411;1;1;110;112;111;P;3;1;2;5;6;4;13.2;2.4;4;;;;338;;;
1;2018;343;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;344;121;1;1;234;230;232;;1;1;2;4;4;6;;;;;;;347;;;
1;2018;345;411;1;1;231;240;236;P;2;1;2;5;6;4;18.3;2.4;18;;;;340;;;
1;2018;346;101;3;5;446;472;459;;;;;;;;;;;;;;345;;;
1;2018;347;411;1;1;142;147;145;;3;1;1;5;6;4;;;;;;;321;;;
1;2018;348;411;1;1;146;146;146;;3;1;1;5;6;4;;;;;;;345;;;
1;2018;349;411;1;1;159;140;150;;3;1;1;5;6;4;;;;;;;348;;;
1;2018;350;121;1;1;461;468;465;;1;1;1;4;4;6;;;;;;;349;;;
1;2018;351;121;1;1;282;269;276;;2;1;1;5;5;5;;;;;;;350;;;
1;2018;352;121;3;8;608;596;602;;;;;;;;19.8;;;;;;351;;;
1;2018;354;101;1;1;292;302;297;;1;1;1;4;4;6;;;;G12;;;352;;;
1;2018;361;121;1;1;657;682;670;P;1;1;1;4;4;6;41.2;31.2;51;;;;669;;;
1;2018;369;411;1;1;229;222;226;;2;1;2;5;6;4;;;;;;;361;;;
1;2018;378;411;1;1;247;248;248;;2;1;1;5;6;4;;;;;;;369;;;
1;2018;381;411;1;1;186;179;183;;3;2;2;5;6;4;;;;G62;;;233;;;
1;2018;393;411;1;1;359;338;349;;3;2;3;5;6;4;;;;;;;290;;;
1;2018;395;411;1;1;212;215;214;;3;2;3;5;6;4;;;;G62;F4;;293;;;
1;2018;403;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;405;411;1;1;300;314;307;;3;1;1;5;6;4;;;;;;;280;;;
1;2018;412;411;1;1;231;225;228;;3;1;1;5;6;4;;;;G01;;;405;;;
1;2018;423;411;1;1;252;246;249;;3;1;1;5;6;4;;;;;;;412;;;
1;2018;456;411;1;1;208;198;203;;3;1;1;5;6;4;;;;;;;574;;;
1;2018;460;411;1;1;131;134;133;;3;2;3;5;6;4;;;;G62;;;456;;;
1;2018;462;411;1;1;138;142;140;;3;1;1;5;6;4;;;;G62;;;460;;;
1;2018;463;411;1;1;201;187;194;;3;1;1;5;6;4;;;;;;;462;;;
1;2018;464;411;1;1;195;190;193;;3;1;1;5;6;4;;;;;;;463;;;
1;2018;475;411;1;1;201;208;205;;3;1;1;5;6;4;;;;G62;;;483;;;
1;2018;478;441;1;1;373;371;372;;1;1;2;5;6;4;;;;;;;475;;;
1;2018;480;101;9;9;;;0;;;;;;;;;;;;;;;;;
1;2018;483;411;1;1;316;303;310;;2;1;2;5;6;4;;;;F7;;;464;;;
1;2018;501;411;1;1;250;238;244;;3;1;1;5;6;4;;;;G62;;;694;;;
1;2018;503;411;1;1;203;160;182;;3;1;1;5;6;4;;;;G62;S21;;564;;;
1;2018;512;411;1;1;203;199;201;;3;1;1;5;6;4;;;;G62;;;503;;;
1;2018;516;411;1;1;180;194;187;;3;1;2;5;6;4;;;;G62;F7;;512;;;
1;2018;526;101;1;1;460;508;484;;1;1;1;4;4;6;;;;;;;423;;;
1;2018;528;;9;9;;;0;;;;;;;;;;;;;;;;;
1;2018;533;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;535;101;1;1;567;556;562;;1;1;1;4;4;6;;;;;;;491;;;
1;2018;539;101;1;1;655;668;662;P;1;1;1;4;4;6;51.1;24.9;55;;;;540;;;
1;2018;540;101;1;1;462;496;479;P;1;1;1;4;4;6;10.6;;;;;;541;;;
1;2018;541;441;1;1;256;275;266;;2;3;3;5;6;4;;;;;;;526;;;
1;2018;542;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;543;;4;4;;;0;;;;;;;;;;;;;;;;;
1;2018;551;411;1;1;299;282;291;;3;1;1;5;6;4;;;;;;;673;;;
1;2018;559;121;1;1;670;624;647;;1;1;1;4;4;6;;;;H0;;;617;;;
1;2018;560;411;1;1;159;165;162;;3;1;1;5;6;4;;;;;;;632;;;
1;2018;562;101;1;1;232;260;246;;2;1;1;4;5;6;;;;S4;;;559;;;
1;2018;564;101;3;8;323;303;313;;;;;;;;6.8;;;;;;562;;;
1;2018;574;411;1;1;198;194;196;;3;1;1;5;6;4;;;;F7;;;674;;;
1;2018;582;411;1;1;223;231;227;;3;1;1;5;6;4;;;;;;;599;;;
1;2018;586;101;1;1;355;368;362;;1;1;2;4;4;6;;;;;;;697;;;
1;2018;589;411;1;1;149;154;152;;3;1;2;5;6;4;;;;;;;590;;;
1;2018;590;411;1;1;198;201;200;;3;1;1;5;6;4;;;;;;;478;;;
1;2018;599;411;1;1;219;213;216;;3;2;3;5;6;4;;;;G62;;;698;;;
1;2018;617;411;1;1;211;225;218;;3;2;2;5;6;4;;;;G62;;;620;;;
1;2018;620;121;3;8;738;682;710;;;;;;;;7.8;;;;;;621;;;
1;2018;621;411;1;1;174;176;175;;3;1;1;5;6;4;;;;F7;;;560;;;
1;2018;632;411;1;1;205;213;209;;3;1;1;5;6;4;;;;;;;639;;;
1;2018;639;411;1;1;160;163;162;;3;1;2;5;6;4;;;;;;;551;;;
1;2018;656;121;1;1;674;673;674;;1;1;1;4;5;5;;;;;;;663;;;
1;2018;659;101;1;1;485;487;486;;1;1;1;4;4;6;;;;;;;660;;;
